#Median black hole mass (Mbh_median) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbh_median)@log(Mpeak)=12 log10(Mbh_median)_16@log(Mpeak)=12 log10(Mbh_median)_84@log(Mpeak)=12 log10(Mbh_median)@log(Mpeak)=13 log10(Mbh_median)_16@log(Mpeak)=13 log10(Mbh_median)_84@log(Mpeak)=13 log10(Mbh_median)@log(Mpeak)=14 log10(Mbh_median)_16@log(Mpeak)=14 log10(Mbh_median)_84@log(Mpeak)=14 log10(Mbh_median)@log(Mpeak)=15 log10(Mbh_median)_16@log(Mpeak)=15 log10(Mbh_median)_84@log(Mpeak)=15
7.262444 -3.171229 -4.050512 -2.677420 -0.687774 -1.352218 -0.311881 1.397579 0.900324 1.706021 3.220277 2.831345 3.453513
7.242763 -3.116565 -3.991290 -2.627396 -0.637196 -1.298589 -0.264626 1.444494 0.950918 1.749122 3.263692 2.878722 3.493657
7.223129 -3.061901 -3.932068 -2.577372 -0.586618 -1.244960 -0.217371 1.491410 1.001513 1.792222 3.307107 2.926098 3.533802
7.203542 -3.009776 -3.875002 -2.528778 -0.538428 -1.193718 -0.171867 1.536056 1.050378 1.834726 3.348436 2.971443 3.572417
7.184002 -2.958168 -3.818373 -2.480475 -0.490722 -1.142961 -0.126719 1.580242 1.098891 1.877109 3.389341 3.016374 3.610721
7.164508 -2.906559 -3.761745 -2.432172 -0.443017 -1.092204 -0.081572 1.624427 1.147404 1.919493 3.430247 3.061306 3.649025
7.145060 -2.854951 -3.705117 -2.383870 -0.395312 -1.041446 -0.036424 1.668612 1.195918 1.961876 3.471152 3.106237 3.687329
7.125659 -2.803342 -3.648488 -2.335567 -0.347607 -0.990689 0.008724 1.712797 1.244431 2.004259 3.512057 3.151169 3.725633
7.106304 -2.751733 -3.591860 -2.287264 -0.299902 -0.939932 0.053872 1.756982 1.292944 2.046642 3.552962 3.196100 3.763937
7.086996 -2.701248 -3.534779 -2.239772 -0.253291 -0.890087 0.098114 1.800154 1.340009 2.087380 3.592905 3.239529 3.801418
7.067733 -2.652984 -3.476804 -2.193881 -0.208842 -0.842042 0.140567 1.841322 1.384213 2.124866 3.630949 3.279987 3.837274
7.048516 -2.604720 -3.418830 -2.147990 -0.164393 -0.793997 0.183021 1.882490 1.428417 2.162352 3.668993 3.320446 3.873130
7.029345 -2.556456 -3.360855 -2.102099 -0.119945 -0.745953 0.225474 1.923658 1.472620 2.199838 3.707037 3.360904 3.908985
7.010219 -2.508192 -3.302880 -2.056208 -0.075496 -0.697908 0.267927 1.964826 1.516824 2.237324 3.745081 3.401363 3.944841
6.991139 -2.459928 -3.244905 -2.010318 -0.031047 -0.649864 0.310380 2.005994 1.561028 2.274810 3.783125 3.441821 3.980696
6.972105 -2.411664 -3.186931 -1.964427 0.013402 -0.601819 0.352833 2.047162 1.605232 2.312296 3.821169 3.482280 4.016552
6.953116 -2.365943 -3.133860 -1.921697 0.055372 -0.553781 0.393564 2.086016 1.647049 2.348106 3.856713 3.521200 4.050777
6.934172 -2.320704 -3.081716 -1.879565 0.096873 -0.505745 0.433968 2.124431 1.688416 2.383599 3.891783 3.559829 4.084695
6.915273 -2.275464 -3.029573 -1.837432 0.138375 -0.457708 0.474373 2.162846 1.729783 2.419092 3.926854 3.598458 4.118612
6.896419 -2.230225 -2.977429 -1.795300 0.179876 -0.409672 0.514777 2.201261 1.771149 2.454586 3.961925 3.637087 4.152530
6.877610 -2.184985 -2.925286 -1.753168 0.221378 -0.361635 0.555181 2.239677 1.812516 2.490079 3.996996 3.675716 4.186447
6.858846 -2.139746 -2.873142 -1.711035 0.262879 -0.313599 0.595586 2.278092 1.853882 2.525572 4.032067 3.714345 4.220365
6.840127 -2.095480 -2.822320 -1.669873 0.303453 -0.266871 0.634847 2.315574 1.894172 2.560295 4.066259 3.752126 4.253102
6.821452 -2.053055 -2.773996 -1.630543 0.342275 -0.222620 0.671947 2.351292 1.932425 2.593560 4.098789 3.788302 4.283607
6.802822 -2.010630 -2.725672 -1.591214 0.381096 -0.178368 0.709046 2.387010 1.970679 2.626825 4.131320 3.824478 4.314112
6.784236 -1.968205 -2.677348 -1.551884 0.419917 -0.134116 0.746146 2.422727 2.008932 2.660090 4.163850 3.860654 4.344617
6.765694 -1.925780 -2.629024 -1.512555 0.458739 -0.089864 0.783246 2.458445 2.047185 2.693356 4.196380 3.896831 4.375123
6.747197 -1.883355 -2.580700 -1.473226 0.497560 -0.045613 0.820345 2.494163 2.085439 2.726621 4.228911 3.933007 4.405628
6.728743 -1.840930 -2.532376 -1.433896 0.536382 -0.001361 0.857445 2.529880 2.123692 2.759886 4.261441 3.969183 4.436133
6.710334 -1.798758 -2.484454 -1.394644 0.575366 0.041791 0.894011 2.565967 2.162879 2.793329 4.294817 4.005344 4.467672
6.691968 -1.756631 -2.436603 -1.355406 0.614380 0.084750 0.930483 2.602118 2.202229 2.826802 4.328342 4.041502 4.499393
6.673646 -1.714503 -2.388751 -1.316168 0.653393 0.127709 0.966956 2.638269 2.241580 2.860276 4.361867 4.077661 4.531113
6.655368 -1.672376 -2.340900 -1.276929 0.692406 0.170668 1.003428 2.674421 2.280930 2.893750 4.395392 4.113819 4.562834
6.637133 -1.630248 -2.293048 -1.237691 0.731419 0.213627 1.039900 2.710572 2.320281 2.927224 4.428917 4.149977 4.594554
6.618942 -1.588120 -2.245197 -1.198453 0.770433 0.256586 1.076373 2.746723 2.359631 2.960697 4.462441 4.186136 4.626275
6.600794 -1.546591 -2.198042 -1.159744 0.808931 0.299346 1.112332 2.782439 2.398559 2.994110 4.495608 4.221973 4.657880
6.582689 -1.506144 -2.152147 -1.121993 0.846495 0.341744 1.147360 2.817369 2.436720 3.027413 4.528128 4.257228 4.689278
6.564628 -1.465697 -2.106252 -1.084242 0.884060 0.384142 1.182389 2.852298 2.474881 3.060716 4.560647 4.292482 4.720675
6.546609 -1.425250 -2.060357 -1.046492 0.921625 0.426540 1.217418 2.887228 2.513043 3.094018 4.593166 4.327737 4.752072
6.528634 -1.384803 -2.014462 -1.008741 0.959189 0.468937 1.252447 2.922157 2.551204 3.127321 4.625685 4.362992 4.783469
6.510701 -1.344357 -1.968567 -0.970990 0.996754 0.511335 1.287476 2.957087 2.589365 3.160624 4.658204 4.398247 4.814867
6.492811 -1.303910 -1.922672 -0.933239 1.034318 0.553733 1.322505 2.992016 2.627527 3.193926 4.690723 4.433502 4.846264
6.474963 -1.265682 -1.879272 -0.896474 1.069660 0.593848 1.355813 3.024962 2.663689 3.225613 4.721195 4.466570 4.875716
6.457158 -1.227813 -1.836275 -0.859869 1.104641 0.633593 1.388843 3.057587 2.699528 3.257039 4.751336 4.499284 4.904853
6.439396 -1.189944 -1.793278 -0.823263 1.139623 0.673338 1.421872 3.090212 2.735367 3.288465 4.781477 4.531999 4.933989
6.421675 -1.152076 -1.750281 -0.786657 1.174605 0.713083 1.454902 3.122837 2.771206 3.319890 4.811617 4.564713 4.963126
6.403997 -1.114207 -1.707284 -0.750051 1.209586 0.752828 1.487932 3.155462 2.807044 3.351316 4.841758 4.597428 4.992263
6.386361 -1.076338 -1.664287 -0.713445 1.244568 0.792573 1.520962 3.188087 2.842883 3.382742 4.871899 4.630142 5.021400
6.368767 -1.039320 -1.622588 -0.678055 1.278728 0.831157 1.553034 3.219939 2.877901 3.413416 4.901171 4.661942 5.049344
6.351215 -1.003777 -1.583139 -0.644774 1.311462 0.867726 1.583445 3.250452 2.911495 3.442788 4.928935 4.692156 5.075219
6.333705 -0.968235 -1.543689 -0.611492 1.344196 0.904296 1.613857 3.280965 2.945088 3.472160 4.956699 4.722370 5.101094
6.316237 -0.932692 -1.504240 -0.578210 1.376930 0.940866 1.644268 3.311478 2.978682 3.501531 4.984463 4.752584 5.126968
