#Black hole mass function (BHMF) from z=0-10, from Trinity
#Ref: Zhang et al. (2021)
#z log(Mbh)[Msun] log(Number Density)[Mpc^-3 dex^-1] log(16-th Percentile of Number Density)[Mpc^-3 dex^-1] log(84-th Percentile of Number Density)[Mpc^-3 dex^-1]
4.000000 8.100000 -4.672202 -4.738075 -4.614813
4.000000 8.200000 -4.755446 -4.823156 -4.695599
4.000000 8.300000 -4.844067 -4.911340 -4.779892
4.000000 8.400000 -4.936972 -5.003004 -4.868636
4.000000 8.500000 -5.037363 -5.100410 -4.962781
4.000000 8.600000 -5.142008 -5.205630 -5.065945
4.000000 8.700000 -5.250962 -5.318718 -5.176557
4.000000 8.800000 -5.368147 -5.436229 -5.292887
4.000000 8.900000 -5.496477 -5.563506 -5.415451
4.000000 9.000000 -5.631485 -5.699260 -5.546946
4.000000 9.100000 -5.773814 -5.844600 -5.688577
4.000000 9.200000 -5.928329 -6.004795 -5.839639
4.000000 9.300000 -6.095071 -6.175756 -6.003356
4.000000 9.400000 -6.270442 -6.357799 -6.178751
4.000000 9.500000 -6.457793 -6.550872 -6.364759
4.000000 9.600000 -6.659656 -6.753884 -6.565103
4.000000 9.700000 -6.873612 -6.967872 -6.782364
4.000000 9.800000 -7.101336 -7.193602 -7.017037
4.000000 9.900000 -7.346954 -7.442668 -7.264050
4.000000 10.000000 -7.602673 -7.699207 -7.516212
4.000000 10.100000 -7.881685 -7.978734 -7.790873
4.000000 10.200000 -8.168730 -8.292756 -8.082986
4.000000 10.300000 -8.476216 -8.596284 -8.393471
4.000000 10.400000 -8.800167 -8.922500 -8.711235
4.000000 10.500000 -9.141398 -9.254271 -9.031108
5.000000 4.000000 -2.885353 -3.000483 -2.785669
5.000000 4.100000 -2.931691 -3.046302 -2.831847
5.000000 4.200000 -2.978886 -3.092652 -2.878542
5.000000 4.300000 -3.025731 -3.139550 -2.925773
5.000000 4.400000 -3.072460 -3.187018 -2.973560
5.000000 4.500000 -3.119738 -3.235076 -3.021923
5.000000 4.600000 -3.166561 -3.283421 -3.070884
5.000000 4.700000 -3.213763 -3.332154 -3.120465
5.000000 4.800000 -3.263225 -3.381525 -3.170691
5.000000 4.900000 -3.313955 -3.431555 -3.221585
5.000000 5.000000 -3.365145 -3.480099 -3.273397
5.000000 5.100000 -3.416219 -3.528301 -3.326040
5.000000 5.200000 -3.467976 -3.577169 -3.379450
5.000000 5.300000 -3.520639 -3.626728 -3.433657
5.000000 5.400000 -3.575887 -3.676914 -3.488694
5.000000 5.500000 -3.630997 -3.727747 -3.544593
5.000000 5.600000 -3.688414 -3.783047 -3.601391
5.000000 5.700000 -3.746769 -3.839240 -3.659231
5.000000 5.800000 -3.805617 -3.896361 -3.718389
5.000000 5.900000 -3.865204 -3.954447 -3.779281
5.000000 6.000000 -3.924903 -4.013536 -3.839526
5.000000 6.100000 -3.985712 -4.073738 -3.901165
5.000000 6.200000 -4.047832 -4.138178 -3.963632
5.000000 6.300000 -4.111141 -4.204994 -4.027276
5.000000 6.400000 -4.175651 -4.268390 -4.092203
5.000000 6.500000 -4.241414 -4.331183 -4.158521
5.000000 6.600000 -4.308078 -4.395750 -4.226722
5.000000 6.700000 -4.376424 -4.463151 -4.296339
5.000000 6.800000 -4.446816 -4.532955 -4.367428
5.000000 6.900000 -4.517645 -4.602770 -4.440035
5.000000 7.000000 -4.588354 -4.675273 -4.512198
5.000000 7.100000 -4.666165 -4.750158 -4.585708
5.000000 7.200000 -4.744889 -4.826747 -4.661087
5.000000 7.300000 -4.822168 -4.905122 -4.736833
5.000000 7.400000 -4.902186 -4.984741 -4.817539
5.000000 7.500000 -4.985427 -5.065732 -4.896308
5.000000 7.600000 -5.070435 -5.152399 -4.977555
5.000000 7.700000 -5.159324 -5.242288 -5.064009
5.000000 7.800000 -5.248198 -5.329531 -5.153987
5.000000 7.900000 -5.339676 -5.420424 -5.246627
5.000000 8.000000 -5.431682 -5.515244 -5.341225
5.000000 8.100000 -5.526472 -5.605726 -5.435351
5.000000 8.200000 -5.624263 -5.703231 -5.535485
5.000000 8.300000 -5.727389 -5.809833 -5.639669
5.000000 8.400000 -5.833991 -5.920045 -5.746461
5.000000 8.500000 -5.944513 -6.032970 -5.858175
5.000000 8.600000 -6.057174 -6.148037 -5.974362
5.000000 8.700000 -6.174345 -6.267257 -6.091853
5.000000 8.800000 -6.294063 -6.397961 -6.216293
5.000000 8.900000 -6.419198 -6.530031 -6.343903
5.000000 9.000000 -6.555726 -6.664807 -6.477903
