#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "same mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
8.449405 11.450000 0.441060
8.449405 11.500000 0.437520
8.449405 11.550000 0.434410
8.449405 11.600000 0.431300
8.449405 11.650000 0.428190
8.449405 11.700000 0.425079
8.449405 11.750000 0.422647
8.449405 11.800000 0.420215
8.400992 11.000000 0.464842
8.400992 11.050000 0.461052
8.400992 11.100000 0.457261
8.400992 11.150000 0.453545
8.400992 11.200000 0.449829
8.400992 11.250000 0.446113
8.400992 11.300000 0.442397
8.400992 11.350000 0.438909
8.400992 11.400000 0.435422
8.400992 11.450000 0.431935
8.400992 11.500000 0.428447
8.400992 11.550000 0.425399
8.400992 11.600000 0.422351
8.400992 11.650000 0.419304
8.400992 11.700000 0.416256
8.400992 11.750000 0.413895
8.400992 11.800000 0.411534
8.400992 11.850000 0.409173
8.352580 11.000000 0.455337
8.352580 11.050000 0.451577
8.352580 11.100000 0.447816
8.352580 11.150000 0.444141
8.352580 11.200000 0.440466
8.352580 11.250000 0.436791
8.352580 11.300000 0.433116
8.352580 11.350000 0.429680
8.352580 11.400000 0.426245
8.352580 11.450000 0.422810
8.352580 11.500000 0.419374
8.352580 11.550000 0.416389
8.352580 11.600000 0.413403
8.352580 11.650000 0.410417
8.352580 11.700000 0.407432
8.352580 11.750000 0.405143
8.352580 11.800000 0.402853
8.352580 11.850000 0.400564
8.304168 11.000000 0.445832
8.304168 11.050000 0.442102
8.304168 11.100000 0.438371
8.304168 11.150000 0.434737
8.304168 11.200000 0.431103
8.304168 11.250000 0.427469
8.304168 11.300000 0.423834
8.304168 11.350000 0.420451
8.304168 11.400000 0.417068
8.304168 11.450000 0.413684
8.304168 11.500000 0.410301
8.304168 11.550000 0.407378
8.304168 11.600000 0.404455
8.304168 11.650000 0.401531
8.304168 11.700000 0.398608
8.304168 11.750000 0.396390
8.304168 11.800000 0.394173
8.304168 11.850000 0.391955
8.256499 11.000000 0.436954
8.256499 11.050000 0.433274
8.256499 11.100000 0.429593
8.256499 11.150000 0.426020
8.256499 11.200000 0.422447
8.256499 11.250000 0.418874
8.256499 11.300000 0.415301
8.256499 11.350000 0.411989
8.256499 11.400000 0.408678
8.256499 11.450000 0.405367
8.256499 11.500000 0.402055
8.256499 11.550000 0.399213
8.256499 11.600000 0.396370
8.256499 11.650000 0.393527
8.256499 11.700000 0.390685
8.256499 11.750000 0.388554
8.256499 11.800000 0.386423
8.256499 11.850000 0.384292
8.208831 11.000000 0.428075
8.208831 11.050000 0.424445
8.208831 11.100000 0.420815
8.208831 11.150000 0.417303
8.208831 11.200000 0.413791
8.208831 11.250000 0.410279
8.208831 11.300000 0.406767
8.208831 11.350000 0.403528
8.208831 11.400000 0.400288
8.208831 11.450000 0.397049
8.208831 11.500000 0.393809
8.208831 11.550000 0.391047
8.208831 11.600000 0.388285
8.208831 11.650000 0.385523
8.208831 11.700000 0.382761
8.208831 11.750000 0.380717
8.208831 11.800000 0.378673
8.208831 11.850000 0.376630
8.208831 11.900000 0.374586
8.161163 11.000000 0.419197
8.161163 11.050000 0.415617
8.161163 11.100000 0.412037
8.161163 11.150000 0.408586
8.161163 11.200000 0.405135
8.161163 11.250000 0.401685
8.161163 11.300000 0.398234
8.161163 11.350000 0.395066
8.161163 11.400000 0.391899
8.161163 11.450000 0.388731
8.161163 11.500000 0.385563
8.161163 11.550000 0.382882
8.161163 11.600000 0.380200
8.161163 11.650000 0.377519
8.161163 11.700000 0.374837
8.161163 11.750000 0.372881
8.161163 11.800000 0.370924
8.161163 11.850000 0.368967
8.161163 11.900000 0.367011
8.114227 11.000000 0.411691
8.114227 11.050000 0.408141
8.114227 11.100000 0.404591
8.114227 11.150000 0.401160
8.114227 11.200000 0.397729
8.114227 11.250000 0.394299
8.114227 11.300000 0.390868
8.114227 11.350000 0.387707
8.114227 11.400000 0.384545
8.114227 11.450000 0.381384
8.114227 11.500000 0.378223
8.114227 11.550000 0.375530
8.114227 11.600000 0.372837
8.114227 11.650000 0.370145
8.114227 11.700000 0.367452
