#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
8.400992 11.350000 -7.242777
8.400992 11.400000 -7.029792
8.400992 11.450000 -6.887519
8.400992 11.500000 -6.780531
8.400992 11.550000 -6.366168
8.400992 11.600000 -6.158037
8.400992 11.650000 -6.017924
8.400992 11.700000 -5.912157
8.400992 11.750000 -5.519921
8.400992 11.800000 -5.317238
8.400992 11.850000 -5.179591
8.352580 11.000000 -8.814246
8.352580 11.050000 -8.669386
8.352580 11.100000 -8.560948
8.352580 11.150000 -8.112639
8.352580 11.200000 -7.896790
8.352580 11.250000 -7.753258
8.352580 11.300000 -7.645563
8.352580 11.350000 -7.214544
8.352580 11.400000 -7.002534
8.352580 11.450000 -6.860691
8.352580 11.500000 -6.753946
8.352580 11.550000 -6.343631
8.352580 11.600000 -6.136471
8.352580 11.650000 -5.996794
8.352580 11.700000 -5.891275
8.352580 11.750000 -5.502793
8.352580 11.800000 -5.301070
8.352580 11.850000 -5.163861
8.304168 11.000000 -8.778202
8.304168 11.050000 -8.633690
8.304168 11.100000 -8.525445
8.304168 11.150000 -8.080964
8.304168 11.200000 -7.865948
8.304168 11.250000 -7.722782
8.304168 11.300000 -7.615291
8.304168 11.350000 -7.188036
8.304168 11.400000 -6.976886
8.304168 11.450000 -6.835425
8.304168 11.500000 -6.728895
8.304168 11.550000 -6.322206
8.304168 11.600000 -6.115926
8.304168 11.650000 -5.976645
8.304168 11.700000 -5.871352
8.304168 11.750000 -5.486315
8.304168 11.800000 -5.285481
8.304168 11.850000 -5.148681
8.256499 11.000000 -8.740883
8.256499 11.050000 -8.596850
8.256499 11.100000 -8.488874
8.256499 11.150000 -8.049280
8.256499 11.200000 -7.835342
8.256499 11.250000 -7.692649
8.256499 11.300000 -7.585425
8.256499 11.350000 -7.162697
8.256499 11.400000 -6.952595
8.256499 11.450000 -6.811600
8.256499 11.500000 -6.705334
8.256499 11.550000 -6.302765
8.256499 11.600000 -6.097496
8.256499 11.650000 -5.958671
8.256499 11.700000 -5.853638
8.256499 11.750000 -5.472314
8.256499 11.800000 -5.272449
8.256499 11.850000 -5.136094
8.208831 11.000000 -8.706519
8.208831 11.050000 -8.562893
8.208831 11.100000 -8.455145
8.208831 11.150000 -8.019752
8.208831 11.200000 -7.806752
8.208831 11.250000 -7.664473
8.208831 11.300000 -7.557481
8.208831 11.350000 -7.138756
8.208831 11.400000 -6.929591
8.208831 11.450000 -6.789015
8.208831 11.500000 -6.682985
8.208831 11.550000 -6.284157
8.208831 11.600000 -6.079816
8.208831 11.650000 -5.941412
8.208831 11.700000 -5.836619
8.208831 11.750000 -5.458750
8.208831 11.800000 -5.259797
8.208831 11.850000 -5.123863
8.208831 11.900000 -5.020487
8.161163 11.000000 -8.674676
8.161163 11.050000 -8.531399
8.161163 11.100000 -8.423847
8.161163 11.150000 -7.992104
8.161163 11.200000 -7.779928
8.161163 11.250000 -7.638013
8.161163 11.300000 -7.531227
8.161163 11.350000 -7.116065
8.161163 11.400000 -6.907745
8.161163 11.450000 -6.767546
8.161163 11.500000 -6.661731
8.161163 11.550000 -6.266314
8.161163 11.600000 -6.062828
8.161163 11.650000 -5.924813
8.161163 11.700000 -5.820242
8.161163 11.750000 -5.445598
8.161163 11.800000 -5.247502
8.161163 11.850000 -5.111966
8.161163 11.900000 -5.008819
8.114227 11.000000 -8.632858
8.114227 11.050000 -8.490054
8.114227 11.100000 -8.382767
8.114227 11.150000 -7.955705
8.114227 11.200000 -7.744599
8.114227 11.250000 -7.603158
8.114227 11.300000 -7.496640
8.114227 11.350000 -7.085911
8.114227 11.400000 -6.878652
8.114227 11.450000 -6.738930
8.114227 11.500000 -6.633385
8.114227 11.550000 -6.242109
8.114227 11.600000 -6.039671
8.114227 11.650000 -5.902135
8.114227 11.700000 -5.797838
8.114227 11.750000 -5.427029
8.114227 11.800000 -5.229965
8.114227 11.850000 -5.094908
8.114227 11.900000 -4.992038
8.067291 11.000000 -8.594716
8.067291 11.050000 -8.452305
8.067291 11.100000 -8.345240
8.067291 11.150000 -7.922122
8.067291 11.200000 -7.711929
8.067291 11.250000 -7.570894
8.067291 11.300000 -7.464605
8.067291 11.350000 -7.057715
8.067291 11.400000 -6.851386
8.067291 11.450000 -6.712083
8.067291 11.500000 -6.606777
8.067291 11.550000 -6.219181
8.067291 11.600000 -6.017686
8.067291 11.650000 -5.880582
8.067291 11.700000 -5.776533
8.067291 11.750000 -5.409221
8.067291 11.800000 -5.213108
8.067291 11.850000 -5.078494
8.067291 11.900000 -4.975881
8.067291 11.950000 -4.629397
8.020356 11.000000 -8.559655
8.020356 11.050000 -8.417577
8.020356 11.100000 -8.310698
8.020356 11.150000 -7.890951
8.020356 11.200000 -7.681546
8.020356 11.250000 -7.540862
8.020356 11.300000 -7.434772
8.020356 11.350000 -7.031239
8.020356 11.400000 -6.825732
8.020356 11.450000 -6.686800
8.020356 11.500000 -6.581706
8.020356 11.550000 -6.197404
8.020356 11.600000 -5.996761
8.020356 11.650000 -5.860048
8.020356 11.700000 -5.756224
8.020356 11.750000 -5.392115
8.020356 11.800000 -5.196881
8.020356 11.850000 -5.062679
8.020356 11.900000 -4.960304
8.020356 11.950000 -4.616894
7.974142 11.000000 -8.515479
7.974142 11.050000 -8.373863
7.974142 11.100000 -8.267246
7.974142 11.150000 -7.851920
7.974142 11.200000 -7.643560
7.974142 11.250000 -7.503344
7.974142 11.300000 -7.397519
7.974142 11.350000 -6.998198
7.974142 11.400000 -6.793734
7.974142 11.450000 -6.655274
7.974142 11.500000 -6.550450
7.974142 11.550000 -6.170107
7.974142 11.600000 -5.970500
7.974142 11.650000 -5.834264
7.974142 11.700000 -5.730714
7.974142 11.750000 -5.370292
7.974142 11.800000 -5.176080
