#Average black hole accretion rate (BHAR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR)@log(Mpeak)=12 log10(BHAR)_16@log(Mpeak)=12 log10(BHAR)_84@log(Mpeak)=12 log10(BHAR)@log(Mpeak)=13 log10(BHAR)_16@log(Mpeak)=13 log10(BHAR)_84@log(Mpeak)=13 log10(BHAR)@log(Mpeak)=14 log10(BHAR)_16@log(Mpeak)=14 log10(BHAR)_84@log(Mpeak)=14 log10(BHAR)@log(Mpeak)=15 log10(BHAR)_16@log(Mpeak)=15 log10(BHAR)_84@log(Mpeak)=15
8.198459 -13.581129 -14.754121 -12.885787 -10.882129 -11.819671 -10.329975 -8.615577 -9.339677 -8.147248 -6.620334 -7.207820 -6.255931
8.176549 -13.506199 -14.669545 -12.817229 -10.813705 -11.743550 -10.267410 -8.552679 -9.270122 -8.089459 -6.562573 -7.143668 -6.202585
8.154691 -13.432624 -14.586507 -12.749922 -10.746548 -11.668876 -10.205960 -8.490968 -9.201904 -8.032766 -6.505941 -7.080800 -6.150266
8.132885 -13.362266 -14.507121 -12.685586 -10.682398 -11.597639 -10.147155 -8.432077 -9.136862 -7.978677 -6.451989 -7.020978 -6.100387
8.111131 -13.291908 -14.427734 -12.621249 -10.618248 -11.526402 -10.088351 -8.373186 -9.071819 -7.924588 -6.398036 -6.961156 -6.050508
8.089428 -13.221550 -14.348348 -12.556913 -10.554098 -11.455165 -10.029546 -8.314294 -9.006777 -7.870499 -6.344084 -6.901334 -6.000630
8.067778 -13.151192 -14.268962 -12.492577 -10.489948 -11.383928 -9.970741 -8.255403 -8.941735 -7.816410 -6.290131 -6.841512 -5.950751
8.046179 -13.080834 -14.189576 -12.428240 -10.425798 -11.312691 -9.911937 -8.196512 -8.876693 -7.762321 -6.236179 -6.781690 -5.900872
8.024631 -13.010476 -14.110189 -12.363904 -10.361648 -11.241454 -9.853132 -8.137621 -8.811651 -7.708232 -6.182227 -6.721868 -5.850993
8.003135 -12.943304 -14.034388 -12.302215 -10.300403 -11.173266 -9.796819 -8.081411 -8.749610 -7.656573 -6.130762 -6.664885 -5.803276
7.981690 -12.876923 -13.959476 -12.241183 -10.239878 -11.105834 -9.741123 -8.025865 -8.688313 -7.605518 -6.079914 -6.608605 -5.756094
7.960296 -12.810541 -13.884563 -12.180151 -10.179353 -11.038402 -9.685428 -7.970320 -8.627015 -7.554462 -6.029066 -6.552325 -5.708913
7.938953 -12.744160 -13.809651 -12.119119 -10.118829 -10.970970 -9.629732 -7.914775 -8.565718 -7.503406 -5.978218 -6.496045 -5.661731
7.917661 -12.677778 -13.734738 -12.058087 -10.058304 -10.903538 -9.574036 -7.859229 -8.504421 -7.452350 -5.927370 -6.439765 -5.614550
7.896420 -12.611397 -13.659826 -11.997055 -9.997779 -10.836106 -9.518341 -7.803684 -8.443124 -7.401295 -5.876522 -6.383485 -5.567368
7.875229 -12.546167 -13.586208 -11.937029 -9.938308 -10.769702 -9.463546 -7.749115 -8.382949 -7.351122 -5.826578 -6.328225 -5.521002
7.854088 -12.483548 -13.515522 -11.879284 -9.881222 -10.705627 -9.410794 -7.696757 -8.325314 -7.302950 -5.778683 -6.275276 -5.476482
