#Average average black hole accretion rate (BHAR) to star formation rate (SFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR/SFR)
8.067291 11.650000 -4.377567
8.067291 11.700000 -4.257801
8.067291 11.750000 -4.145201
8.067291 11.800000 -4.032600
8.067291 11.850000 -3.919999
8.067291 11.900000 -3.807398
8.067291 11.950000 -3.702136
8.020356 11.000000 -6.010092
8.020356 11.050000 -5.874504
8.020356 11.100000 -5.738915
8.020356 11.150000 -5.608045
8.020356 11.200000 -5.477176
8.020356 11.250000 -5.346307
8.020356 11.300000 -5.215437
8.020356 11.350000 -5.090240
8.020356 11.400000 -4.965043
8.020356 11.450000 -4.839847
8.020356 11.500000 -4.714650
8.020356 11.550000 -4.595977
8.020356 11.600000 -4.477304
8.020356 11.650000 -4.358631
8.020356 11.700000 -4.239958
8.020356 11.750000 -4.128410
8.020356 11.800000 -4.016861
8.020356 11.850000 -3.905313
8.020356 11.900000 -3.793764
8.020356 11.950000 -3.689504
7.974142 11.000000 -5.975150
7.974142 11.050000 -5.840679
7.974142 11.100000 -5.706207
7.974142 11.150000 -5.576447
7.974142 11.200000 -5.446686
7.974142 11.250000 -5.316925
7.974142 11.300000 -5.187163
7.974142 11.350000 -5.063061
7.974142 11.400000 -4.938957
7.974142 11.450000 -4.814854
7.974142 11.500000 -4.690750
7.974142 11.550000 -4.573146
7.974142 11.600000 -4.455541
7.974142 11.650000 -4.337937
7.974142 11.700000 -4.220332
7.974142 11.750000 -4.109818
7.974142 11.800000 -3.999304
7.974142 11.850000 -3.888791
7.974142 11.900000 -3.778277
7.974142 11.950000 -3.675007
7.927927 11.000000 -5.940209
7.927927 11.050000 -5.806854
7.927927 11.100000 -5.673499
7.927927 11.150000 -5.544848
7.927927 11.200000 -5.416195
7.927927 11.250000 -5.287543
7.927927 11.300000 -5.158891
7.927927 11.350000 -5.035880
7.927927 11.400000 -4.912870
7.927927 11.450000 -4.789860
7.927927 11.500000 -4.666850
7.927927 11.550000 -4.550315
7.927927 11.600000 -4.433779
7.927927 11.650000 -4.317243
7.927927 11.700000 -4.200707
7.927927 11.750000 -4.091228
7.927927 11.800000 -3.981748
7.927927 11.850000 -3.872269
7.927927 11.900000 -3.762789
7.927927 11.950000 -3.660510
7.881713 11.000000 -5.905269
7.881713 11.050000 -5.773030
7.881713 11.100000 -5.640792
7.881713 11.150000 -5.513248
7.881713 11.200000 -5.385704
7.881713 11.250000 -5.258162
7.881713 11.300000 -5.130618
7.881713 11.350000 -5.008701
7.881713 11.400000 -4.886784
7.881713 11.450000 -4.764867
7.881713 11.500000 -4.642951
7.881713 11.550000 -4.527483
7.881713 11.600000 -4.412016
7.881713 11.650000 -4.296549
7.881713 11.700000 -4.181081
7.881713 11.750000 -4.072637
7.881713 11.800000 -3.964192
7.881713 11.850000 -3.855747
7.881713 11.900000 -3.747303
7.881713 11.950000 -3.646012
7.881713 12.000000 -3.544722
7.836209 11.000000 -5.878035
7.836209 11.050000 -5.746894
7.836209 11.100000 -5.615753
7.836209 11.150000 -5.489278
7.836209 11.200000 -5.362803
7.836209 11.250000 -5.236328
7.836209 11.300000 -5.109853
7.836209 11.350000 -4.988963
7.836209 11.400000 -4.868075
7.836209 11.450000 -4.747187
7.836209 11.500000 -4.626297
7.836209 11.550000 -4.511806
7.836209 11.600000 -4.397314
7.836209 11.650000 -4.282823
7.836209 11.700000 -4.168332
7.836209 11.750000 -4.060801
7.836209 11.800000 -3.953271
7.836209 11.850000 -3.845741
7.836209 11.900000 -3.738210
7.836209 11.950000 -3.637773
7.836209 12.000000 -3.537334
7.790705 11.000000 -5.850802
7.790705 11.050000 -5.720758
7.790705 11.100000 -5.590714
7.790705 11.150000 -5.465307
7.790705 11.200000 -5.339901
7.790705 11.250000 -5.214494
7.790705 11.300000 -5.089088
7.790705 11.350000 -4.969226
7.790705 11.400000 -4.849366
7.790705 11.450000 -4.729505
7.790705 11.500000 -4.609645
7.790705 11.550000 -4.496128
7.790705 11.600000 -4.382613
7.790705 11.650000 -4.269097
7.790705 11.700000 -4.155582
7.790705 11.750000 -4.048966
7.790705 11.800000 -3.942350
7.790705 11.850000 -3.835734
7.790705 11.900000 -3.729118
7.790705 11.950000 -3.629532
