#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "no mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
8.498573 11.050000 0.573265
8.498573 11.100000 0.569718
8.498573 11.150000 0.566192
8.498573 11.200000 0.562665
8.498573 11.250000 0.559138
8.498573 11.300000 0.555611
8.498573 11.350000 0.552230
8.498573 11.400000 0.548850
8.498573 11.450000 0.545470
8.498573 11.500000 0.542090
8.498573 11.550000 0.539039
8.498573 11.600000 0.535988
8.498573 11.650000 0.532938
8.498573 11.700000 0.529887
8.498573 11.750000 0.527388
8.498573 11.800000 0.524889
8.449405 11.000000 0.565519
8.449405 11.050000 0.561967
8.449405 11.100000 0.558414
8.449405 11.150000 0.554890
8.449405 11.200000 0.551366
8.449405 11.250000 0.547842
8.449405 11.300000 0.544318
8.449405 11.350000 0.540952
8.449405 11.400000 0.537586
8.449405 11.450000 0.534220
8.449405 11.500000 0.530854
8.449405 11.550000 0.527830
8.449405 11.600000 0.524806
8.449405 11.650000 0.521783
8.449405 11.700000 0.518759
8.449405 11.750000 0.516301
8.449405 11.800000 0.513843
8.400992 11.000000 0.554959
8.400992 11.050000 0.551423
8.400992 11.100000 0.547887
8.400992 11.150000 0.544391
8.400992 11.200000 0.540895
8.400992 11.250000 0.537398
8.400992 11.300000 0.533902
8.400992 11.350000 0.530576
8.400992 11.400000 0.527249
8.400992 11.450000 0.523923
8.400992 11.500000 0.520597
8.400992 11.550000 0.517625
8.400992 11.600000 0.514653
8.400992 11.650000 0.511682
8.400992 11.700000 0.508710
8.400992 11.750000 0.506318
8.400992 11.800000 0.503925
8.400992 11.850000 0.501532
8.352580 11.000000 0.544399
8.352580 11.050000 0.540880
8.352580 11.100000 0.537361
8.352580 11.150000 0.533892
8.352580 11.200000 0.530423
8.352580 11.250000 0.526954
8.352580 11.300000 0.523486
8.352580 11.350000 0.520199
8.352580 11.400000 0.516912
8.352580 11.450000 0.513626
8.352580 11.500000 0.510339
8.352580 11.550000 0.507420
8.352580 11.600000 0.504501
8.352580 11.650000 0.501581
8.352580 11.700000 0.498662
8.352580 11.750000 0.496334
8.352580 11.800000 0.494007
8.352580 11.850000 0.491679
8.304168 11.000000 0.533839
8.304168 11.050000 0.530336
8.304168 11.100000 0.526834
8.304168 11.150000 0.523393
8.304168 11.200000 0.519952
8.304168 11.250000 0.516510
8.304168 11.300000 0.513069
8.304168 11.350000 0.509822
8.304168 11.400000 0.506575
8.304168 11.450000 0.503328
8.304168 11.500000 0.500082
8.304168 11.550000 0.497215
8.304168 11.600000 0.494348
8.304168 11.650000 0.491481
8.304168 11.700000 0.488614
8.304168 11.750000 0.486351
8.304168 11.800000 0.484089
8.304168 11.850000 0.481827
8.256499 11.000000 0.523863
8.256499 11.050000 0.520398
8.256499 11.100000 0.516933
8.256499 11.150000 0.513540
8.256499 11.200000 0.510148
8.256499 11.250000 0.506755
8.256499 11.300000 0.503362
8.256499 11.350000 0.500176
8.256499 11.400000 0.496990
8.256499 11.450000 0.493803
8.256499 11.500000 0.490617
8.256499 11.550000 0.487822
8.256499 11.600000 0.485028
8.256499 11.650000 0.482233
8.256499 11.700000 0.479438
8.256499 11.750000 0.477258
8.256499 11.800000 0.475079
8.256499 11.850000 0.472899
8.208831 11.000000 0.513888
8.208831 11.050000 0.510460
8.208831 11.100000 0.507032
8.208831 11.150000 0.503688
8.208831 11.200000 0.500343
8.208831 11.250000 0.496999
8.208831 11.300000 0.493655
8.208831 11.350000 0.490530
8.208831 11.400000 0.487404
8.208831 11.450000 0.484278
8.208831 11.500000 0.481153
8.208831 11.550000 0.478430
8.208831 11.600000 0.475708
8.208831 11.650000 0.472985
8.208831 11.700000 0.470263
8.208831 11.750000 0.468166
8.208831 11.800000 0.466069
8.208831 11.850000 0.463972
8.208831 11.900000 0.461875
8.161163 11.000000 0.503913
8.161163 11.050000 0.500522
8.161163 11.100000 0.497131
8.161163 11.150000 0.493835
8.161163 11.200000 0.490539
8.161163 11.250000 0.487244
8.161163 11.300000 0.483948
8.161163 11.350000 0.480883
8.161163 11.400000 0.477818
8.161163 11.450000 0.474753
8.161163 11.500000 0.471689
8.161163 11.550000 0.469038
8.161163 11.600000 0.466388
8.161163 11.650000 0.463738
8.161163 11.700000 0.461087
8.161163 11.750000 0.459073
8.161163 11.800000 0.457059
8.161163 11.850000 0.455045
8.161163 11.900000 0.453030
8.114227 11.000000 0.495631
8.114227 11.050000 0.492265
8.114227 11.100000 0.488900
8.114227 11.150000 0.485622
8.114227 11.200000 0.482344
8.114227 11.250000 0.479066
8.114227 11.300000 0.475788
8.114227 11.350000 0.472730
8.114227 11.400000 0.469672
8.114227 11.450000 0.466613
8.114227 11.500000 0.463555
8.114227 11.550000 0.460896
8.114227 11.600000 0.458237
8.114227 11.650000 0.455578
8.114227 11.700000 0.452920
8.114227 11.750000 0.450880
8.114227 11.800000 0.448841
8.114227 11.850000 0.446801
8.114227 11.900000 0.444762
8.067291 11.000000 0.487349
8.067291 11.050000 0.484009
8.067291 11.100000 0.480669
8.067291 11.150000 0.477409
8.067291 11.200000 0.474149
8.067291 11.250000 0.470889
8.067291 11.300000 0.467629
8.067291 11.350000 0.464577
8.067291 11.400000 0.461525
8.067291 11.450000 0.458473
8.067291 11.500000 0.455422
8.067291 11.550000 0.452754
8.067291 11.600000 0.450087
8.067291 11.650000 0.447419
8.067291 11.700000 0.444752
8.067291 11.750000 0.442687
8.067291 11.800000 0.440623
8.067291 11.850000 0.438558
8.067291 11.900000 0.436494
8.067291 11.950000 0.435223
8.020356 11.000000 0.479067
8.020356 11.050000 0.475752
8.020356 11.100000 0.472437
8.020356 11.150000 0.469195
8.020356 11.200000 0.465953
8.020356 11.250000 0.462711
8.020356 11.300000 0.459469
8.020356 11.350000 0.456424
8.020356 11.400000 0.453379
8.020356 11.450000 0.450333
8.020356 11.500000 0.447288
8.020356 11.550000 0.444612
8.020356 11.600000 0.441936
8.020356 11.650000 0.439260
8.020356 11.700000 0.436584
8.020356 11.750000 0.434495
8.020356 11.800000 0.432405
8.020356 11.850000 0.430315
8.020356 11.900000 0.428225
8.020356 11.950000 0.426913
7.974142 11.000000 0.469495
7.974142 11.050000 0.466175
7.974142 11.100000 0.462856
