#Average black hole merger rate (BHMR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHMR)@log(Mpeak)=12 log10(BHMR)_16@log(Mpeak)=12 log10(BHMR)_84@log(Mpeak)=12 log10(BHMR)@log(Mpeak)=13 log10(BHMR)_16@log(Mpeak)=13 log10(BHMR)_84@log(Mpeak)=13 log10(BHMR)@log(Mpeak)=14 log10(BHMR)_16@log(Mpeak)=14 log10(BHMR)_84@log(Mpeak)=14 log10(BHMR)@log(Mpeak)=15 log10(BHMR)_16@log(Mpeak)=15 log10(BHMR)_84@log(Mpeak)=15
6.765694 -13.681828 -16.665101 -13.695381 -11.184870 -14.195942 -11.328793 -9.146862 -12.183915 -9.322977 -7.382544 -10.468816 -7.564505
6.747197 -13.636180 -16.617781 -13.653530 -11.144633 -14.154003 -11.294065 -9.111620 -12.151138 -9.286206 -7.350696 -10.439544 -7.533200
6.728743 -13.590532 -16.570461 -13.611680 -11.104395 -14.112064 -11.259337 -9.076378 -12.118360 -9.249436 -7.318847 -10.410272 -7.501896
6.710334 -13.547274 -16.519848 -13.571257 -11.064547 -14.069881 -11.220572 -9.039807 -12.083954 -9.211868 -7.285282 -10.378944 -7.467776
6.691968 -13.504435 -16.468657 -13.531085 -11.024767 -14.027655 -11.181099 -9.003002 -12.049262 -9.174161 -7.251416 -10.347256 -7.433162
6.673646 -13.461595 -16.417466 -13.490912 -10.984987 -13.985430 -11.141627 -8.966198 -12.014570 -9.136453 -7.217551 -10.315567 -7.398548
6.655368 -13.418756 -16.366275 -13.450740 -10.945207 -13.943204 -11.102154 -8.929394 -11.979878 -9.098746 -7.183685 -10.283879 -7.363933
6.637133 -13.375916 -16.315085 -13.410567 -10.905427 -13.900979 -11.062682 -8.892590 -11.945186 -9.061039 -7.149819 -10.252191 -7.329319
6.618942 -13.333077 -16.263894 -13.370395 -10.865647 -13.858753 -11.023210 -8.855785 -11.910494 -9.023331 -7.115953 -10.220502 -7.294705
6.600794 -13.290374 -16.214517 -13.329684 -10.826386 -13.818625 -10.983479 -8.819747 -11.876484 -8.986600 -7.082788 -10.189447 -7.260754
6.582689 -13.247921 -16.168424 -13.287998 -10.788066 -13.782294 -10.943282 -8.785096 -11.843711 -8.951635 -7.050893 -10.159537 -7.228003
