#Median black hole mass--galaxy total stellar mass relation from z=0-5 from IllustrisTNG300.
#Ref: Habouzit et al. 2020, https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1940H/abstract
#z log10(Mstar)[Msun] log10(Mbh_median)[Msun]
3.000000 10.219658 7.538797
3.000000 10.242624 7.605780
3.000000 10.265589 7.672763
3.000000 10.288555 7.739746
3.000000 10.311521 7.806728
3.000000 10.334486 7.873711
3.000000 10.357452 7.939454
3.000000 10.380418 7.977952
3.000000 10.403383 8.016450
3.000000 10.426349 8.054948
3.000000 10.449315 8.093446
3.000000 10.472280 8.131944
3.000000 10.495246 8.170442
3.000000 10.518212 8.209715
3.000000 10.541178 8.250440
3.000000 10.564143 8.291165
3.000000 10.587109 8.331890
3.000000 10.610075 8.372615
3.000000 10.633040 8.413340
3.000000 10.656006 8.433335
3.000000 10.678972 8.450795
3.000000 10.701937 8.468255
3.000000 10.724903 8.485715
3.000000 10.747869 8.503175
3.000000 10.770835 8.520634
3.000000 10.793800 8.538094
3.000000 10.816766 8.555554
3.000000 10.839732 8.573014
3.000000 10.862697 8.590260
3.000000 10.885663 8.607424
3.000000 10.908629 8.624589
3.000000 10.931594 8.641754
3.000000 10.954560 8.658919
3.000000 10.977526 8.676084
3.000000 11.000491 8.693249
3.000000 11.023457 8.710414
3.000000 11.046423 8.727579
3.000000 11.069389 8.744744
3.000000 11.092354 8.761909
3.000000 11.115320 8.780943
3.000000 11.138286 8.803695
3.000000 11.161251 8.826447
3.000000 11.184217 8.849199
3.000000 11.207183 8.871950
3.000000 11.230148 8.894702
3.000000 11.253114 8.917454
3.000000 11.276080 8.940206
3.000000 11.299045 8.962958
3.000000 11.322011 8.985710
3.000000 11.344977 9.013698
3.000000 11.367943 9.066106
3.000000 11.390908 9.118514
3.000000 11.413874 9.170922
3.000000 11.436840 9.223330
3.000000 11.459805 9.275738
3.000000 11.482771 9.328146
3.000000 11.505737 9.380554
3.000000 11.528702 9.432962
3.000000 11.551668 9.485370
3.000000 11.574634 9.537778
4.000000 9.301030 6.166606
4.000000 9.321405 6.170147
4.000000 9.341780 6.173688
4.000000 9.362155 6.177229
4.000000 9.382531 6.181966
4.000000 9.402906 6.186922
