#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
8.304168 11.300000 6.212962
8.304168 11.350000 6.332688
8.304168 11.400000 6.452414
8.304168 11.450000 6.572141
8.304168 11.500000 6.691867
8.304168 11.550000 6.806851
8.304168 11.600000 6.921836
8.304168 11.650000 7.036821
8.304168 11.700000 7.151806
8.304168 11.750000 7.261749
8.304168 11.800000 7.371692
8.304168 11.850000 7.481635
8.256499 11.000000 5.458915
8.256499 11.050000 5.586063
8.256499 11.100000 5.713212
8.256499 11.150000 5.836849
8.256499 11.200000 5.960486
8.256499 11.250000 6.084123
8.256499 11.300000 6.207760
8.256499 11.350000 6.327224
8.256499 11.400000 6.446687
8.256499 11.450000 6.566150
8.256499 11.500000 6.685614
8.256499 11.550000 6.800366
8.256499 11.600000 6.915119
8.256499 11.650000 7.029871
8.256499 11.700000 7.144623
8.256499 11.750000 7.254361
8.256499 11.800000 7.364098
8.256499 11.850000 7.473835
8.208831 11.000000 5.455512
8.208831 11.050000 5.582345
8.208831 11.100000 5.709177
8.208831 11.150000 5.832522
8.208831 11.200000 5.955868
8.208831 11.250000 6.079213
8.208831 11.300000 6.202558
8.208831 11.350000 6.321759
8.208831 11.400000 6.440960
8.208831 11.450000 6.560160
8.208831 11.500000 6.679361
8.208831 11.550000 6.793881
8.208831 11.600000 6.908401
8.208831 11.650000 7.022921
8.208831 11.700000 7.137441
8.208831 11.750000 7.246972
8.208831 11.800000 7.356504
8.208831 11.850000 7.466035
8.208831 11.900000 7.575566
8.161163 11.000000 5.452110
8.161163 11.050000 5.578626
8.161163 11.100000 5.705142
8.161163 11.150000 5.828195
8.161163 11.200000 5.951249
8.161163 11.250000 6.074303
8.161163 11.300000 6.197356
8.161163 11.350000 6.316294
8.161163 11.400000 6.435232
8.161163 11.450000 6.554170
8.161163 11.500000 6.673108
8.161163 11.550000 6.787396
8.161163 11.600000 6.901683
8.161163 11.650000 7.015971
8.161163 11.700000 7.130259
8.161163 11.750000 7.239584
8.161163 11.800000 7.348910
8.161163 11.850000 7.458235
8.161163 11.900000 7.567561
8.114227 11.000000 5.451295
8.114227 11.050000 5.577531
8.114227 11.100000 5.703767
8.114227 11.150000 5.826561
8.114227 11.200000 5.949355
8.114227 11.250000 6.072149
8.114227 11.300000 6.194944
8.114227 11.350000 6.313647
8.114227 11.400000 6.432350
8.114227 11.450000 6.551052
8.114227 11.500000 6.669755
8.114227 11.550000 6.783835
8.114227 11.600000 6.897914
8.114227 11.650000 7.011994
8.114227 11.700000 7.126073
8.114227 11.750000 7.235215
8.114227 11.800000 7.344357
8.114227 11.850000 7.453499
8.114227 11.900000 7.562641
8.067291 11.000000 5.450480
8.067291 11.050000 5.576436
8.067291 11.100000 5.702392
8.067291 11.150000 5.824927
8.067291 11.200000 5.947461
8.067291 11.250000 6.069996
8.067291 11.300000 6.192531
8.067291 11.350000 6.310999
8.067291 11.400000 6.429467
8.067291 11.450000 6.547935
8.067291 11.500000 6.666403
8.067291 11.550000 6.780274
8.067291 11.600000 6.894146
8.067291 11.650000 7.008017
8.067291 11.700000 7.121888
8.067291 11.750000 7.230847
8.067291 11.800000 7.339805
8.067291 11.850000 7.448763
8.067291 11.900000 7.557721
8.067291 11.950000 7.661786
8.020356 11.000000 5.449664
8.020356 11.050000 5.575341
8.020356 11.100000 5.701017
8.020356 11.150000 5.823292
8.020356 11.200000 5.945568
8.020356 11.250000 6.067843
8.020356 11.300000 6.190118
8.020356 11.350000 6.308351
8.020356 11.400000 6.426584
8.020356 11.450000 6.544817
8.020356 11.500000 6.663051
8.020356 11.550000 6.776714
8.020356 11.600000 6.890377
8.020356 11.650000 7.004040
8.020356 11.700000 7.117703
8.020356 11.750000 7.226478
8.020356 11.800000 7.335252
8.020356 11.850000 7.444027
8.020356 11.900000 7.552802
8.020356 11.950000 7.656704
7.974142 11.000000 5.451154
7.974142 11.050000 5.576585
7.974142 11.100000 5.702015
7.974142 11.150000 5.824061
7.974142 11.200000 5.946106
7.974142 11.250000 6.068151
7.974142 11.300000 6.190196
7.974142 11.350000 6.308219
7.974142 11.400000 6.426242
7.974142 11.450000 6.544264
7.974142 11.500000 6.662287
7.974142 11.550000 6.775762
7.974142 11.600000 6.889238
7.974142 11.650000 7.002713
7.974142 11.700000 7.116188
7.974142 11.750000 7.224797
7.974142 11.800000 7.333405
7.974142 11.850000 7.442014
7.974142 11.900000 7.550622
7.974142 11.950000 7.654381
7.927927 11.000000 5.452644
7.927927 11.050000 5.577829
7.927927 11.100000 5.703014
7.927927 11.150000 5.824829
7.927927 11.200000 5.946644
7.927927 11.250000 6.068459
7.927927 11.300000 6.190274
7.927927 11.350000 6.308087
7.927927 11.400000 6.425899
7.927927 11.450000 6.543711
7.927927 11.500000 6.661523
7.927927 11.550000 6.774811
7.927927 11.600000 6.888098
7.927927 11.650000 7.001386
7.927927 11.700000 7.114673
7.927927 11.750000 7.223116
7.927927 11.800000 7.331558
7.927927 11.850000 7.440000
7.927927 11.900000 7.548443
7.927927 11.950000 7.652057
7.881713 11.000000 5.454134
7.881713 11.050000 5.579073
7.881713 11.100000 5.704012
7.881713 11.150000 5.825597
7.881713 11.200000 5.947182
7.881713 11.250000 6.068767
7.881713 11.300000 6.190352
7.881713 11.350000 6.307954
7.881713 11.400000 6.425556
7.881713 11.450000 6.543158
7.881713 11.500000 6.660760
7.881713 11.550000 6.773860
7.881713 11.600000 6.886959
7.881713 11.650000 7.000059
7.881713 11.700000 7.113158
7.881713 11.750000 7.221434
7.881713 11.800000 7.329711
7.881713 11.850000 7.437987
7.881713 11.900000 7.546264
7.881713 11.950000 7.649734
7.881713 12.000000 7.753204
7.836209 11.000000 5.453448
7.836209 11.050000 5.578152
7.836209 11.100000 5.702856
7.836209 11.150000 5.824223
7.836209 11.200000 5.945590
7.836209 11.250000 6.066957
7.836209 11.300000 6.188324
7.836209 11.350000 6.305729
7.836209 11.400000 6.423133
7.836209 11.450000 6.540538
7.836209 11.500000 6.657942
7.836209 11.550000 6.770867
7.836209 11.600000 6.883791
7.836209 11.650000 6.996716
7.836209 11.700000 7.109640
7.836209 11.750000 7.217762
7.836209 11.800000 7.325884
7.836209 11.850000 7.434007
7.836209 11.900000 7.542129
7.836209 11.950000 7.645462
7.836209 12.000000 7.748796
7.790705 11.000000 5.452763
7.790705 11.050000 5.577231
7.790705 11.100000 5.701700
7.790705 11.150000 5.822849
7.790705 11.200000 5.943998
7.790705 11.250000 6.065147
7.790705 11.300000 6.186296
7.790705 11.350000 6.303503
7.790705 11.400000 6.420710
7.790705 11.450000 6.537918
7.790705 11.500000 6.655125
7.790705 11.550000 6.767874
7.790705 11.600000 6.880623
7.790705 11.650000 6.993373
7.790705 11.700000 7.106122
7.790705 11.750000 7.214090
7.790705 11.800000 7.322058
7.790705 11.850000 7.430026
7.790705 11.900000 7.537994
7.790705 11.950000 7.641191
7.790705 12.000000 7.744388
7.745201 11.000000 5.452077
7.745201 11.050000 5.576310
7.745201 11.100000 5.700544
7.745201 11.150000 5.821475
7.745201 11.200000 5.942406
7.745201 11.250000 6.063337
7.745201 11.300000 6.184268
7.745201 11.350000 6.301278
7.745201 11.400000 6.418288
