#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
8.848146 11.000000 0.139399
8.848146 11.050000 0.138941
8.848146 11.100000 0.138483
8.848146 11.150000 0.138325
8.848146 11.200000 0.138167
8.848146 11.250000 0.138009
8.848146 11.300000 0.137851
8.848146 11.350000 0.138116
8.848146 11.400000 0.138381
8.848146 11.450000 0.138646
8.848146 11.500000 0.138911
8.848146 11.550000 0.139764
8.848146 11.600000 0.140617
8.848146 11.650000 0.141470
8.848146 11.700000 0.142323
8.797431 11.000000 0.129198
8.797431 11.050000 0.128744
8.797431 11.100000 0.128290
8.797431 11.150000 0.128129
8.797431 11.200000 0.127968
8.797431 11.250000 0.127808
8.797431 11.300000 0.127647
8.797431 11.350000 0.127902
8.797431 11.400000 0.128157
8.797431 11.450000 0.128412
8.797431 11.500000 0.128667
8.797431 11.550000 0.129505
8.797431 11.600000 0.130342
8.797431 11.650000 0.131180
8.797431 11.700000 0.132017
8.746716 11.000000 0.118996
8.746716 11.050000 0.118547
8.746716 11.100000 0.118097
8.746716 11.150000 0.117933
8.746716 11.200000 0.117770
8.746716 11.250000 0.117606
8.746716 11.300000 0.117442
8.746716 11.350000 0.117687
8.746716 11.400000 0.117933
8.746716 11.450000 0.118178
8.746716 11.500000 0.118423
8.746716 11.550000 0.119245
8.746716 11.600000 0.120067
8.746716 11.650000 0.120889
8.746716 11.700000 0.121711
8.696780 11.000000 0.108819
8.696780 11.050000 0.108427
8.696780 11.100000 0.108036
8.696780 11.150000 0.107934
8.696780 11.200000 0.107833
8.696780 11.250000 0.107731
8.696780 11.300000 0.107629
8.696780 11.350000 0.107939
8.696780 11.400000 0.108249
8.696780 11.450000 0.108558
8.696780 11.500000 0.108868
8.696780 11.550000 0.109754
8.696780 11.600000 0.110639
8.696780 11.650000 0.111525
8.696780 11.700000 0.112411
8.696780 11.750000 0.114052
8.646845 11.000000 0.098642
8.646845 11.050000 0.098308
8.646845 11.100000 0.097974
8.646845 11.150000 0.097935
8.646845 11.200000 0.097896
8.646845 11.250000 0.097856
8.646845 11.300000 0.097817
8.646845 11.350000 0.098191
8.646845 11.400000 0.098565
8.646845 11.450000 0.098939
8.646845 11.500000 0.099313
8.646845 11.550000 0.100262
8.646845 11.600000 0.101212
8.646845 11.650000 0.102161
8.646845 11.700000 0.103110
8.646845 11.750000 0.104813
8.596909 11.000000 0.088465
8.596909 11.050000 0.088189
8.596909 11.100000 0.087913
8.596909 11.150000 0.087936
8.596909 11.200000 0.087958
8.596909 11.250000 0.087981
8.596909 11.300000 0.088004
8.596909 11.350000 0.088442
8.596909 11.400000 0.088881
8.596909 11.450000 0.089319
8.596909 11.500000 0.089758
8.596909 11.550000 0.090771
8.596909 11.600000 0.091784
8.596909 11.650000 0.092797
8.596909 11.700000 0.093810
8.596909 11.750000 0.095575
8.547741 11.000000 0.079561
8.547741 11.050000 0.079363
8.547741 11.100000 0.079164
8.547741 11.150000 0.079268
8.547741 11.200000 0.079371
8.547741 11.250000 0.079475
8.547741 11.300000 0.079578
8.547741 11.350000 0.080099
8.547741 11.400000 0.080620
8.547741 11.450000 0.081140
8.547741 11.500000 0.081661
8.547741 11.550000 0.082754
8.547741 11.600000 0.083848
8.547741 11.650000 0.084941
8.547741 11.700000 0.086034
8.547741 11.750000 0.087876
8.547741 11.800000 0.089718
8.498573 11.000000 0.070657
8.498573 11.050000 0.070536
8.498573 11.100000 0.070415
8.498573 11.150000 0.070599
8.498573 11.200000 0.070784
8.498573 11.250000 0.070968
8.498573 11.300000 0.071153
8.498573 11.350000 0.071756
8.498573 11.400000 0.072359
8.498573 11.450000 0.072962
8.498573 11.500000 0.073565
8.498573 11.550000 0.074738
8.498573 11.600000 0.075912
8.498573 11.650000 0.077085
8.498573 11.700000 0.078259
8.498573 11.750000 0.080177
8.498573 11.800000 0.082096
8.449405 11.000000 0.061753
8.449405 11.050000 0.061710
8.449405 11.100000 0.061666
8.449405 11.150000 0.061931
8.449405 11.200000 0.062197
8.449405 11.250000 0.062462
8.449405 11.300000 0.062728
8.449405 11.350000 0.063413
8.449405 11.400000 0.064098
8.449405 11.450000 0.064783
8.449405 11.500000 0.065468
8.449405 11.550000 0.066722
8.449405 11.600000 0.067975
8.449405 11.650000 0.069229
8.449405 11.700000 0.070483
8.449405 11.750000 0.072478
8.449405 11.800000 0.074474
8.400992 11.000000 0.053924
8.400992 11.050000 0.053973
8.400992 11.100000 0.054022
8.400992 11.150000 0.054383
8.400992 11.200000 0.054744
8.400992 11.250000 0.055105
8.400992 11.300000 0.055466
8.400992 11.350000 0.056246
8.400992 11.400000 0.057026
8.400992 11.450000 0.057806
8.400992 11.500000 0.058586
8.400992 11.550000 0.059930
8.400992 11.600000 0.061275
8.400992 11.650000 0.062620
8.400992 11.700000 0.063965
