#Average average specific black hole accretion rate (SBHAR) to specific star formation rate (SSFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SBHAR/SSFR)
8.208831 11.250000 0.173989
8.208831 11.300000 0.169375
8.208831 11.350000 0.164560
8.208831 11.400000 0.159743
8.208831 11.450000 0.154927
8.208831 11.500000 0.150110
8.208831 11.550000 0.145182
8.208831 11.600000 0.140253
8.208831 11.650000 0.135325
8.208831 11.700000 0.130394
8.208831 11.750000 0.125478
8.208831 11.800000 0.120562
8.208831 11.850000 0.115646
8.208831 11.900000 0.110730
8.161163 11.000000 0.195104
8.161163 11.050000 0.190720
8.161163 11.100000 0.186336
8.161163 11.150000 0.181710
8.161163 11.200000 0.177085
8.161163 11.250000 0.172459
8.161163 11.300000 0.167833
8.161163 11.350000 0.163018
8.161163 11.400000 0.158205
8.161163 11.450000 0.153391
8.161163 11.500000 0.148576
8.161163 11.550000 0.143665
8.161163 11.600000 0.138754
8.161163 11.650000 0.133842
8.161163 11.700000 0.128931
8.161163 11.750000 0.124046
8.161163 11.800000 0.119162
8.161163 11.850000 0.114279
8.161163 11.900000 0.109395
8.114227 11.000000 0.197344
8.114227 11.050000 0.192941
8.114227 11.100000 0.188538
8.114227 11.150000 0.183887
8.114227 11.200000 0.179238
8.114227 11.250000 0.174587
8.114227 11.300000 0.169937
8.114227 11.350000 0.165091
8.114227 11.400000 0.160246
8.114227 11.450000 0.155399
8.114227 11.500000 0.150552
8.114227 11.550000 0.145597
8.114227 11.600000 0.140642
8.114227 11.650000 0.135687
8.114227 11.700000 0.130732
8.114227 11.750000 0.125790
8.114227 11.800000 0.120848
8.114227 11.850000 0.115908
8.114227 11.900000 0.110966
8.067291 11.000000 0.199583
8.067291 11.050000 0.195161
8.067291 11.100000 0.190739
8.067291 11.150000 0.186066
8.067291 11.200000 0.181391
8.067291 11.250000 0.176717
8.067291 11.300000 0.172043
8.067291 11.350000 0.167163
8.067291 11.400000 0.162285
8.067291 11.450000 0.157406
8.067291 11.500000 0.152529
8.067291 11.550000 0.147530
8.067291 11.600000 0.142530
8.067291 11.650000 0.137532
8.067291 11.700000 0.132533
8.067291 11.750000 0.127533
8.067291 11.800000 0.122535
8.067291 11.850000 0.117537
8.067291 11.900000 0.112538
8.067291 11.950000 0.107685
8.020356 11.000000 0.201822
8.020356 11.050000 0.197381
8.020356 11.100000 0.192941
8.020356 11.150000 0.188243
8.020356 11.200000 0.183544
8.020356 11.250000 0.178845
8.020356 11.300000 0.174147
8.020356 11.350000 0.169237
8.020356 11.400000 0.164326
8.020356 11.450000 0.159415
8.020356 11.500000 0.154504
8.020356 11.550000 0.149462
8.020356 11.600000 0.144419
8.020356 11.650000 0.139377
8.020356 11.700000 0.134334
8.020356 11.750000 0.129278
8.020356 11.800000 0.124222
8.020356 11.850000 0.119164
8.020356 11.900000 0.114108
8.020356 11.950000 0.109187
7.974142 11.000000 0.204369
7.974142 11.050000 0.199889
7.974142 11.100000 0.195410
7.974142 11.150000 0.190665
7.974142 11.200000 0.185922
7.974142 11.250000 0.181178
7.974142 11.300000 0.176435
7.974142 11.350000 0.171468
7.974142 11.400000 0.166502
7.974142 11.450000 0.161536
7.974142 11.500000 0.156570
7.974142 11.550000 0.151459
7.974142 11.600000 0.146350
7.974142 11.650000 0.141239
7.974142 11.700000 0.136130
7.974142 11.750000 0.130993
7.974142 11.800000 0.125855
7.974142 11.850000 0.120717
7.974142 11.900000 0.115580
7.974142 11.950000 0.110566
7.927927 11.000000 0.206916
7.927927 11.050000 0.202398
7.927927 11.100000 0.197879
7.927927 11.150000 0.193088
7.927927 11.200000 0.188301
7.927927 11.250000 0.183511
7.927927 11.300000 0.178722
7.927927 11.350000 0.173701
7.927927 11.400000 0.168680
7.927927 11.450000 0.163658
7.927927 11.500000 0.158636
7.927927 11.550000 0.153457
7.927927 11.600000 0.148279
7.927927 11.650000 0.143102
7.927927 11.700000 0.137924
7.927927 11.750000 0.132705
7.927927 11.800000 0.127488
7.927927 11.850000 0.122270
7.927927 11.900000 0.117053
7.927927 11.950000 0.111945
7.881713 11.000000 0.209461
7.881713 11.050000 0.204905
7.881713 11.100000 0.200347
7.881713 11.150000 0.195513
7.881713 11.200000 0.190679
7.881713 11.250000 0.185843
7.881713 11.300000 0.181009
7.881713 11.350000 0.175932
7.881713 11.400000 0.170855
7.881713 11.450000 0.165778
7.881713 11.500000 0.160701
7.881713 11.550000 0.155455
7.881713 11.600000 0.150210
7.881713 11.650000 0.144965
7.881713 11.700000 0.139719
7.881713 11.750000 0.134420
7.881713 11.800000 0.129121
7.881713 11.850000 0.123823
7.881713 11.900000 0.118522
7.881713 11.950000 0.113324
7.881713 12.000000 0.108124
7.836209 11.000000 0.208075
7.836209 11.050000 0.203453
7.836209 11.100000 0.198830
7.836209 11.150000 0.193940
7.836209 11.200000 0.189051
7.836209 11.250000 0.184161
7.836209 11.300000 0.179271
7.836209 11.350000 0.174152
7.836209 11.400000 0.169031
7.836209 11.450000 0.163911
7.836209 11.500000 0.158793
7.836209 11.550000 0.153518
7.836209 11.600000 0.148243
7.836209 11.650000 0.142968
7.836209 11.700000 0.137692
7.836209 11.750000 0.132379
7.836209 11.800000 0.127064
7.836209 11.850000 0.121750
7.836209 11.900000 0.116436
7.836209 11.950000 0.111231
7.836209 12.000000 0.106027
7.790705 11.000000 0.206689
7.790705 11.050000 0.202001
7.790705 11.100000 0.197314
7.790705 11.150000 0.192369
7.790705 11.200000 0.187423
7.790705 11.250000 0.182479
7.790705 11.300000 0.177533
7.790705 11.350000 0.172371
7.790705 11.400000 0.167208
7.790705 11.450000 0.162046
7.790705 11.500000 0.156882
7.790705 11.550000 0.151580
7.790705 11.600000 0.146275
7.790705 11.650000 0.140971
7.790705 11.700000 0.135667
7.790705 11.750000 0.130337
7.790705 11.800000 0.125008
7.790705 11.850000 0.119678
7.790705 11.900000 0.114349
7.790705 11.950000 0.109140
7.790705 12.000000 0.103931
7.745201 11.000000 0.205300
7.745201 11.050000 0.200549
7.745201 11.100000 0.195796
7.745201 11.150000 0.190796
7.745201 11.200000 0.185797
7.745201 11.250000 0.180797
7.745201 11.300000 0.175795
7.745201 11.350000 0.170591
7.745201 11.400000 0.165386
7.745201 11.450000 0.160180
7.745201 11.500000 0.154975
7.745201 11.550000 0.149642
7.745201 11.600000 0.144308
7.745201 11.650000 0.138973
7.745201 11.700000 0.133639
7.745201 11.750000 0.128295
7.745201 11.800000 0.122951
7.745201 11.850000 0.117606
7.745201 11.900000 0.112262
7.745201 11.950000 0.107048
7.745201 12.000000 0.101835
7.745201 12.050000 0.096620
7.700397 11.000000 0.203827
7.700397 11.050000 0.199024
7.700397 11.100000 0.194220
7.700397 11.150000 0.189181
7.700397 11.200000 0.184141
7.700397 11.250000 0.179102
7.700397 11.300000 0.174063
7.700397 11.350000 0.168832
7.700397 11.400000 0.163601
7.700397 11.450000 0.158370
7.700397 11.500000 0.153140
7.700397 11.550000 0.147796
7.700397 11.600000 0.142450
