#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
8.352580 11.800000 6.032543
8.352580 11.850000 6.235291
8.304168 11.000000 2.594693
8.304168 11.050000 2.822487
8.304168 11.100000 3.050281
8.304168 11.150000 3.273128
8.304168 11.200000 3.495975
8.304168 11.250000 3.718822
8.304168 11.300000 3.941668
8.304168 11.350000 4.158405
8.304168 11.400000 4.375142
8.304168 11.450000 4.591879
8.304168 11.500000 4.808615
8.304168 11.550000 5.018122
8.304168 11.600000 5.227628
8.304168 11.650000 5.437135
8.304168 11.700000 5.646641
8.304168 11.750000 5.848021
8.304168 11.800000 6.049401
8.304168 11.850000 6.250781
8.256499 11.000000 2.630440
8.256499 11.050000 2.856764
8.256499 11.100000 3.083088
8.256499 11.150000 3.304493
8.256499 11.200000 3.525899
8.256499 11.250000 3.747304
8.256499 11.300000 3.968709
8.256499 11.350000 4.184046
8.256499 11.400000 4.399382
8.256499 11.450000 4.614719
8.256499 11.500000 4.830056
8.256499 11.550000 5.038217
8.256499 11.600000 5.246379
8.256499 11.650000 5.454541
8.256499 11.700000 5.662703
8.256499 11.750000 5.862802
8.256499 11.800000 6.062902
8.256499 11.850000 6.263002
8.208831 11.000000 2.666187
8.208831 11.050000 2.891041
8.208831 11.100000 3.115895
8.208831 11.150000 3.335859
8.208831 11.200000 3.555822
8.208831 11.250000 3.775786
8.208831 11.300000 3.995750
8.208831 11.350000 4.209686
8.208831 11.400000 4.423623
8.208831 11.450000 4.637559
8.208831 11.500000 4.851496
8.208831 11.550000 5.058313
8.208831 11.600000 5.265130
8.208831 11.650000 5.471947
8.208831 11.700000 5.678765
8.208831 11.750000 5.877584
8.208831 11.800000 6.076403
8.208831 11.850000 6.275222
8.208831 11.900000 6.474041
8.161163 11.000000 2.701934
8.161163 11.050000 2.925318
8.161163 11.100000 3.148702
8.161163 11.150000 3.367224
8.161163 11.200000 3.585746
8.161163 11.250000 3.804268
8.161163 11.300000 4.022790
8.161163 11.350000 4.235327
8.161163 11.400000 4.447863
8.161163 11.450000 4.660400
8.161163 11.500000 4.872936
8.161163 11.550000 5.078409
8.161163 11.600000 5.283881
8.161163 11.650000 5.489354
8.161163 11.700000 5.694826
8.161163 11.750000 5.892365
8.161163 11.800000 6.089904
8.161163 11.850000 6.287443
8.161163 11.900000 6.484981
8.114227 11.000000 2.740367
8.114227 11.050000 2.962392
8.114227 11.100000 3.184417
8.114227 11.150000 3.401603
8.114227 11.200000 3.618789
8.114227 11.250000 3.835975
8.114227 11.300000 4.053161
8.114227 11.350000 4.264396
8.114227 11.400000 4.475632
8.114227 11.450000 4.686867
8.114227 11.500000 4.898103
8.114227 11.550000 5.102323
8.114227 11.600000 5.306542
8.114227 11.650000 5.510762
8.114227 11.700000 5.714982
8.114227 11.750000 5.911326
8.114227 11.800000 6.107670
8.114227 11.850000 6.304013
8.114227 11.900000 6.500357
8.067291 11.000000 2.778799
8.067291 11.050000 2.999465
8.067291 11.100000 3.220131
8.067291 11.150000 3.435981
8.067291 11.200000 3.651831
8.067291 11.250000 3.867681
8.067291 11.300000 4.083531
8.067291 11.350000 4.293466
8.067291 11.400000 4.503400
8.067291 11.450000 4.713335
8.067291 11.500000 4.923269
8.067291 11.550000 5.126236
8.067291 11.600000 5.329204
8.067291 11.650000 5.532171
8.067291 11.700000 5.735138
8.067291 11.750000 5.930287
8.067291 11.800000 6.125435
8.067291 11.850000 6.320584
8.067291 11.900000 6.515733
8.067291 11.950000 6.702652
8.020356 11.000000 2.817232
8.020356 11.050000 3.036539
8.020356 11.100000 3.255846
8.020356 11.150000 3.470360
8.020356 11.200000 3.684874
8.020356 11.250000 3.899388
8.020356 11.300000 4.113902
8.020356 11.350000 4.322535
8.020356 11.400000 4.531169
8.020356 11.450000 4.739802
8.020356 11.500000 4.948436
8.020356 11.550000 5.150150
8.020356 11.600000 5.351865
8.020356 11.650000 5.553579
8.020356 11.700000 5.755294
8.020356 11.750000 5.949247
8.020356 11.800000 6.143201
8.020356 11.850000 6.337155
8.020356 11.900000 6.531109
8.020356 11.950000 6.716897
7.974142 11.000000 2.857600
7.974142 11.050000 3.075649
7.974142 11.100000 3.293697
7.974142 11.150000 3.506970
7.974142 11.200000 3.720243
7.974142 11.250000 3.933516
7.974142 11.300000 4.146789
7.974142 11.350000 4.354210
7.974142 11.400000 4.561631
7.974142 11.450000 4.769051
7.974142 11.500000 4.976472
7.974142 11.550000 5.177015
7.974142 11.600000 5.377558
7.974142 11.650000 5.578101
7.974142 11.700000 5.778643
7.974142 11.750000 5.971476
7.974142 11.800000 6.164309
7.974142 11.850000 6.357141
7.974142 11.900000 6.549974
7.974142 11.950000 6.734702
7.927927 11.000000 2.897968
7.927927 11.050000 3.114758
7.927927 11.100000 3.331549
7.927927 11.150000 3.543581
7.927927 11.200000 3.755612
7.927927 11.250000 3.967644
7.927927 11.300000 4.179676
7.927927 11.350000 4.385884
7.927927 11.400000 4.592092
7.927927 11.450000 4.798300
7.927927 11.500000 5.004509
7.927927 11.550000 5.203880
7.927927 11.600000 5.403251
7.927927 11.650000 5.602622
7.927927 11.700000 5.801993
7.927927 11.750000 5.993705
7.927927 11.800000 6.185416
7.927927 11.850000 6.377128
7.927927 11.900000 6.568839
7.927927 11.950000 6.752507
7.881713 11.000000 2.938336
7.881713 11.050000 3.153868
7.881713 11.100000 3.369400
7.881713 11.150000 3.580191
7.881713 11.200000 3.790982
7.881713 11.250000 4.001772
7.881713 11.300000 4.212563
7.881713 11.350000 4.417559
7.881713 11.400000 4.622554
7.881713 11.450000 4.827550
7.881713 11.500000 5.032545
7.881713 11.550000 5.230745
7.881713 11.600000 5.428944
7.881713 11.650000 5.627143
7.881713 11.700000 5.825343
7.881713 11.750000 6.015933
7.881713 11.800000 6.206524
7.881713 11.850000 6.397114
7.881713 11.900000 6.587705
7.881713 11.950000 6.770312
7.881713 12.000000 6.952920
7.836209 11.000000 2.973135
7.836209 11.050000 3.187458
7.836209 11.100000 3.401782
7.836209 11.150000 3.611384
7.836209 11.200000 3.820986
7.836209 11.250000 4.030588
7.836209 11.300000 4.240191
7.836209 11.350000 4.444028
7.836209 11.400000 4.647866
7.836209 11.450000 4.851703
7.836209 11.500000 5.055540
7.836209 11.550000 5.252623
7.836209 11.600000 5.449706
7.836209 11.650000 5.646789
7.836209 11.700000 5.843872
7.836209 11.750000 6.033395
7.836209 11.800000 6.222919
7.836209 11.850000 6.412442
7.836209 11.900000 6.601966
7.836209 11.950000 6.783559
7.836209 12.000000 6.965153
7.790705 11.000000 3.007934
7.790705 11.050000 3.221049
7.790705 11.100000 3.434163
7.790705 11.150000 3.642577
7.790705 11.200000 3.850991
7.790705 11.250000 4.059404
7.790705 11.300000 4.267818
7.790705 11.350000 4.470498
7.790705 11.400000 4.673177
7.790705 11.450000 4.875856
7.790705 11.500000 5.078536
7.790705 11.550000 5.274502
7.790705 11.600000 5.470468
7.790705 11.650000 5.666434
7.790705 11.700000 5.862400
7.790705 11.750000 6.050857
7.790705 11.800000 6.239313
