#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.273522 8.000000 -17.016989
14.273522 8.050000 -16.008174
14.273522 8.100000 -14.999359
14.273522 8.150000 -14.776659
14.273522 8.200000 -14.553959
14.273522 8.250000 -14.331260
14.273522 8.300000 -14.108560
14.273522 8.350000 -13.889923
14.273522 8.400000 -13.671285
14.273522 8.450000 -13.452648
14.273522 8.500000 -13.234011
14.273522 8.550000 -13.015427
14.273522 8.600000 -12.796844
14.273522 8.650000 -12.578261
14.273522 8.700000 -12.359677
14.273522 8.750000 -12.141144
14.273522 8.800000 -11.922610
14.273522 8.850000 -11.704077
14.273522 8.900000 -11.485543
14.273522 8.950000 -11.267057
14.273522 9.000000 -11.048571
14.273522 9.050000 -10.830085
14.273522 9.100000 -10.611599
14.273522 9.150000 -10.393171
14.273522 9.200000 -10.174744
14.273522 9.250000 -9.956316
14.273522 9.300000 -9.737889
14.273522 9.350000 -9.519549
14.273522 9.400000 -9.301209
14.273522 9.450000 -9.082870
14.273522 9.500000 -8.864530
14.273522 9.550000 -8.646319
14.273522 9.600000 -8.428108
14.273522 9.650000 -8.209897
14.273522 9.700000 -7.991686
14.273522 9.750000 -7.773668
14.273522 9.800000 -7.555649
14.273522 9.850000 -7.337631
14.273522 9.900000 -7.119613
14.273522 9.950000 -6.901897
14.273522 10.000000 -6.684181
14.273522 10.050000 -6.466466
14.273522 10.100000 -6.248750
14.273522 10.150000 -6.031523
14.273522 10.200000 -5.814295
14.195271 8.000000 -16.391902
14.195271 8.050000 -15.640074
14.195271 8.100000 -14.888246
14.195271 8.150000 -14.668284
14.195271 8.200000 -14.448321
14.195271 8.250000 -14.228359
14.195271 8.300000 -14.008396
14.195271 8.350000 -13.791231
14.195271 8.400000 -13.574065
14.195271 8.450000 -13.356899
14.195271 8.500000 -13.139734
14.195271 8.550000 -12.922626
14.195271 8.600000 -12.705518
14.195271 8.650000 -12.488411
14.195271 8.700000 -12.271303
14.195271 8.750000 -12.054249
14.195271 8.800000 -11.837194
14.195271 8.850000 -11.620140
14.195271 8.900000 -11.403086
14.195271 8.950000 -11.186083
14.195271 9.000000 -10.969079
14.195271 9.050000 -10.752075
14.195271 9.100000 -10.535072
14.195271 9.150000 -10.318131
14.195271 9.200000 -10.101189
14.195271 9.250000 -9.884248
14.195271 9.300000 -9.667307
14.195271 9.350000 -9.450459
14.195271 9.400000 -9.233610
14.195271 9.450000 -9.016762
14.195271 9.500000 -8.799913
14.195271 9.550000 -8.583201
14.195271 9.600000 -8.366488
14.195271 9.650000 -8.149776
14.195271 9.700000 -7.933064
14.195271 9.750000 -7.716553
14.195271 9.800000 -7.500043
14.195271 9.850000 -7.283533
14.195271 9.900000 -7.067023
14.195271 9.950000 -6.850829
14.195271 10.000000 -6.634635
14.195271 10.050000 -6.418441
14.195271 10.100000 -6.202247
14.195271 10.150000 -5.986560
14.195271 10.200000 -5.770872
14.195271 10.250000 -5.555185
14.117020 8.000000 -15.766814
14.117020 8.050000 -15.271973
14.117020 8.100000 -14.777133
14.117020 8.150000 -14.559908
14.117020 8.200000 -14.342683
14.117020 8.250000 -14.125458
14.117020 8.300000 -13.908232
14.117020 8.350000 -13.692539
14.117020 8.400000 -13.476845
14.117020 8.450000 -13.261151
14.117020 8.500000 -13.045457
14.117020 8.550000 -12.829825
14.117020 8.600000 -12.614193
14.117020 8.650000 -12.398561
14.117020 8.700000 -12.182928
14.117020 8.750000 -11.967354
14.117020 8.800000 -11.751779
14.117020 8.850000 -11.536204
14.117020 8.900000 -11.320629
14.117020 8.950000 -11.105108
14.117020 9.000000 -10.889587
14.117020 9.050000 -10.674066
14.117020 9.100000 -10.458545
14.117020 9.150000 -10.243090
14.117020 9.200000 -10.027635
14.117020 9.250000 -9.812180
14.117020 9.300000 -9.596725
14.117020 9.350000 -9.381368
14.117020 9.400000 -9.166011
14.117020 9.450000 -8.950654
14.117020 9.500000 -8.735297
14.117020 9.550000 -8.520083
14.117020 9.600000 -8.304869
14.117020 9.650000 -8.089655
14.117020 9.700000 -7.874441
14.117020 9.750000 -7.659439
14.117020 9.800000 -7.444437
14.117020 9.850000 -7.229435
14.117020 9.900000 -7.014433
14.117020 9.950000 -6.799761
14.117020 10.000000 -6.585088
14.117020 10.050000 -6.370416
14.117020 10.100000 -6.155744
14.117020 10.150000 -5.941597
14.117020 10.200000 -5.727450
14.117020 10.250000 -5.513302
14.038768 8.000000 -15.141726
14.038768 8.050000 -14.903873
14.038768 8.100000 -14.666020
14.038768 8.150000 -14.451532
14.038768 8.200000 -14.237044
14.038768 8.250000 -14.022557
14.038768 8.300000 -13.808069
14.038768 8.350000 -13.593846
14.038768 8.400000 -13.379624
14.038768 8.450000 -13.165402
14.038768 8.500000 -12.951180
14.038768 8.550000 -12.737023
14.038768 8.600000 -12.522867
14.038768 8.650000 -12.308711
14.038768 8.700000 -12.094554
14.038768 8.750000 -11.880459
14.038768 8.800000 -11.666363
14.038768 8.850000 -11.452267
14.038768 8.900000 -11.238172
14.038768 8.950000 -11.024134
14.038768 9.000000 -10.810095
14.038768 9.050000 -10.596057
14.038768 9.100000 -10.382018
14.038768 9.150000 -10.168050
14.038768 9.200000 -9.954081
14.038768 9.250000 -9.740112
14.038768 9.300000 -9.526143
14.038768 9.350000 -9.312277
14.038768 9.400000 -9.098412
14.038768 9.450000 -8.884546
14.038768 9.500000 -8.670680
14.038768 9.550000 -8.456965
14.038768 9.600000 -8.243249
14.038768 9.650000 -8.029534
14.038768 9.700000 -7.815818
14.038768 9.750000 -7.602325
14.038768 9.800000 -7.388831
14.038768 9.850000 -7.175337
14.038768 9.900000 -6.961843
14.038768 9.950000 -6.748692
14.038768 10.000000 -6.535542
14.038768 10.050000 -6.322391
14.038768 10.100000 -6.109241
14.038768 10.150000 -5.896634
14.038768 10.200000 -5.684027
14.038768 10.250000 -5.471420
13.961720 8.000000 -15.028921
13.961720 8.050000 -14.797992
13.961720 8.100000 -14.567063
13.961720 8.150000 -14.354081
13.961720 8.200000 -14.141098
13.961720 8.250000 -13.928116
13.961720 8.300000 -13.715133
13.961720 8.350000 -13.502351
13.961720 8.400000 -13.289568
13.961720 8.450000 -13.076786
13.961720 8.500000 -12.864003
13.961720 8.550000 -12.651289
13.961720 8.600000 -12.438574
13.961720 8.650000 -12.225860
13.961720 8.700000 -12.013146
13.961720 8.750000 -11.800494
13.961720 8.800000 -11.587843
13.961720 8.850000 -11.375191
13.961720 8.900000 -11.162540
13.961720 8.950000 -10.949947
13.961720 9.000000 -10.737354
13.961720 9.050000 -10.524762
13.961720 9.100000 -10.312169
13.961720 9.150000 -10.099648
13.961720 9.200000 -9.887127
13.961720 9.250000 -9.674606
13.961720 9.300000 -9.462084
13.961720 9.350000 -9.249669
13.961720 9.400000 -9.037254
13.961720 9.450000 -8.824838
13.961720 9.500000 -8.612423
13.961720 9.550000 -8.400162
13.961720 9.600000 -8.187901
13.961720 9.650000 -7.975640
13.961720 9.700000 -7.763379
13.961720 9.750000 -7.551345
13.961720 9.800000 -7.339312
13.961720 9.850000 -7.127278
13.961720 9.900000 -6.915245
13.961720 9.950000 -6.703563
13.961720 10.000000 -6.491881
13.961720 10.050000 -6.280199
13.961720 10.100000 -6.068517
13.961720 10.150000 -5.857390
13.961720 10.200000 -5.646263
13.961720 10.250000 -5.435137
13.961720 10.300000 -5.224010
13.884671 8.000000 -14.916115
13.884671 8.050000 -14.692111
13.884671 8.100000 -14.468107
13.884671 8.150000 -14.256630
13.884671 8.200000 -14.045152
13.884671 8.250000 -13.833675
13.884671 8.300000 -13.622198
13.884671 8.350000 -13.410855
13.884671 8.400000 -13.199512
13.884671 8.450000 -12.988170
13.884671 8.500000 -12.776827
13.884671 8.550000 -12.565554
13.884671 8.600000 -12.354282
13.884671 8.650000 -12.143010
13.884671 8.700000 -11.931737
13.884671 8.750000 -11.720530
13.884671 8.800000 -11.509322
13.884671 8.850000 -11.298115
13.884671 8.900000 -11.086907
13.884671 8.950000 -10.875761
13.884671 9.000000 -10.664614
13.884671 9.050000 -10.453467
13.884671 9.100000 -10.242320
13.884671 9.150000 -10.031246
13.884671 9.200000 -9.820173
13.884671 9.250000 -9.609099
13.884671 9.300000 -9.398026
13.884671 9.350000 -9.187060
13.884671 9.400000 -8.976095
13.884671 9.450000 -8.765130
13.884671 9.500000 -8.554165
13.884671 9.550000 -8.343359
13.884671 9.600000 -8.132552
13.884671 9.650000 -7.921746
13.884671 9.700000 -7.710940
13.884671 9.750000 -7.500366
13.884671 9.800000 -7.289793
13.884671 9.850000 -7.079220
13.884671 9.900000 -6.868647
13.884671 9.950000 -6.658434
13.884671 10.000000 -6.448220
13.884671 10.050000 -6.238007
13.884671 10.100000 -6.027794
13.884671 10.150000 -5.818147
13.884671 10.200000 -5.608500
13.884671 10.250000 -5.398853
13.884671 10.300000 -5.189206
13.807623 8.000000 -14.803310
13.807623 8.050000 -14.586230
13.807623 8.100000 -14.369150
13.807623 8.150000 -14.159178
13.807623 8.200000 -13.949206
13.807623 8.250000 -13.739235
13.807623 8.300000 -13.529263
13.807623 8.350000 -13.319360
13.807623 8.400000 -13.109457
13.807623 8.450000 -12.899554
13.807623 8.500000 -12.689650
13.807623 8.550000 -12.479820
13.807623 8.600000 -12.269990
13.807623 8.650000 -12.060159
13.807623 8.700000 -11.850329
13.807623 8.750000 -11.640565
13.807623 8.800000 -11.430802
13.807623 8.850000 -11.221039
13.807623 8.900000 -11.011275
13.807623 8.950000 -10.801574
13.807623 9.000000 -10.591873
13.807623 9.050000 -10.382172
13.807623 9.100000 -10.172471
13.807623 9.150000 -9.962845
13.807623 9.200000 -9.753219
13.807623 9.250000 -9.543593
13.807623 9.300000 -9.333967
13.807623 9.350000 -9.124452
13.807623 9.400000 -8.914937
13.807623 9.450000 -8.705423
13.807623 9.500000 -8.495908
13.807623 9.550000 -8.286556
13.807623 9.600000 -8.077204
13.807623 9.650000 -7.867852
13.807623 9.700000 -7.658500
13.807623 9.750000 -7.449387
13.807623 9.800000 -7.240275
13.807623 9.850000 -7.031162
