#Average star formation rate (SFR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SFR)[Msun]
8.114227 11.150000 1.527933
8.114227 11.200000 1.608481
8.114227 11.250000 1.689029
8.114227 11.300000 1.769577
8.114227 11.350000 1.850103
8.114227 11.400000 1.930629
8.114227 11.450000 2.011156
8.114227 11.500000 2.091682
8.114227 11.550000 2.172180
8.114227 11.600000 2.252678
8.114227 11.650000 2.333175
8.114227 11.700000 2.413673
8.114227 11.750000 2.494131
8.114227 11.800000 2.574589
8.114227 11.850000 2.655046
8.114227 11.900000 2.735504
8.067291 11.000000 1.284697
8.067291 11.050000 1.365099
8.067291 11.100000 1.445501
8.067291 11.150000 1.525885
8.067291 11.200000 1.606270
8.067291 11.250000 1.686654
8.067291 11.300000 1.767038
8.067291 11.350000 1.847400
8.067291 11.400000 1.927762
8.067291 11.450000 2.008124
8.067291 11.500000 2.088485
8.067291 11.550000 2.168818
8.067291 11.600000 2.249151
8.067291 11.650000 2.329484
8.067291 11.700000 2.409817
8.067291 11.750000 2.490109
8.067291 11.800000 2.570400
8.067291 11.850000 2.650692
8.067291 11.900000 2.730983
8.067291 11.950000 2.811199
8.020356 11.000000 1.283141
8.020356 11.050000 1.363380
8.020356 11.100000 1.443618
8.020356 11.150000 1.523838
8.020356 11.200000 1.604059
8.020356 11.250000 1.684279
8.020356 11.300000 1.764499
8.020356 11.350000 1.844697
8.020356 11.400000 1.924894
8.020356 11.450000 2.005092
8.020356 11.500000 2.085289
8.020356 11.550000 2.165457
8.020356 11.600000 2.245625
8.020356 11.650000 2.325793
8.020356 11.700000 2.405961
8.020356 11.750000 2.486087
8.020356 11.800000 2.566212
8.020356 11.850000 2.646338
8.020356 11.900000 2.726463
8.020356 11.950000 2.806510
7.974142 11.000000 1.280854
7.974142 11.050000 1.360949
7.974142 11.100000 1.441044
7.974142 11.150000 1.521121
7.974142 11.200000 1.601197
7.974142 11.250000 1.681273
7.974142 11.300000 1.761349
7.974142 11.350000 1.841403
7.974142 11.400000 1.921456
7.974142 11.450000 2.001509
7.974142 11.500000 2.081562
7.974142 11.550000 2.161585
7.974142 11.600000 2.241608
7.974142 11.650000 2.321631
7.974142 11.700000 2.401654
7.974142 11.750000 2.481633
7.974142 11.800000 2.561612
7.974142 11.850000 2.641591
7.974142 11.900000 2.721570
7.974142 11.950000 2.801467
7.927927 11.000000 1.278568
7.927927 11.050000 1.358519
7.927927 11.100000 1.438470
7.927927 11.150000 1.518403
7.927927 11.200000 1.598335
7.927927 11.250000 1.678267
7.927927 11.300000 1.758200
7.927927 11.350000 1.838108
7.927927 11.400000 1.918017
7.927927 11.450000 1.997926
7.927927 11.500000 2.077835
7.927927 11.550000 2.157713
7.927927 11.600000 2.237591
7.927927 11.650000 2.317469
7.927927 11.700000 2.397347
7.927927 11.750000 2.477180
7.927927 11.800000 2.557012
7.927927 11.850000 2.636845
7.927927 11.900000 2.716677
7.927927 11.950000 2.796425
7.881713 11.000000 1.276282
7.881713 11.050000 1.356089
7.881713 11.100000 1.435897
7.881713 11.150000 1.515685
7.881713 11.200000 1.595473
7.881713 11.250000 1.675262
7.881713 11.300000 1.755050
7.881713 11.350000 1.834814
7.881713 11.400000 1.914579
7.881713 11.450000 1.994343
7.881713 11.500000 2.074108
7.881713 11.550000 2.153841
7.881713 11.600000 2.233574
7.881713 11.650000 2.313307
7.881713 11.700000 2.393040
7.881713 11.750000 2.472726
7.881713 11.800000 2.552412
7.881713 11.850000 2.632098
7.881713 11.900000 2.711785
7.881713 11.950000 2.791382
7.881713 12.000000 2.870979
7.836209 11.000000 1.273294
7.836209 11.050000 1.352978
7.836209 11.100000 1.432661
7.836209 11.150000 1.512325
7.836209 11.200000 1.591989
