#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.352995 9.050000 -39.728979
14.352995 9.100000 -39.136863
14.352995 9.150000 -38.545113
14.352995 9.200000 -37.953363
14.352995 9.250000 -37.361614
14.352995 9.300000 -36.769864
14.352995 9.350000 -36.178235
14.352995 9.400000 -35.586606
14.352995 9.450000 -34.994978
14.352995 9.500000 -34.403349
14.352995 9.550000 -33.811900
14.352995 9.600000 -33.220450
14.352995 9.650000 -32.629001
14.352995 9.700000 -32.037552
14.352995 9.750000 -31.446349
14.352995 9.800000 -30.855146
14.352995 9.850000 -30.263943
14.352995 9.900000 -29.672739
14.352995 9.950000 -29.081885
14.352995 10.000000 -28.491031
14.352995 10.050000 -27.900176
14.352995 10.100000 -27.309322
14.352995 10.150000 -26.718952
14.352995 10.200000 -26.128582
14.273522 8.000000 -43.787455
14.273522 8.050000 -43.787455
14.273522 8.100000 -43.787455
14.273522 8.150000 -43.787455
14.273522 8.200000 -43.787455
14.273522 8.250000 -43.787455
14.273522 8.300000 -43.787455
14.273522 8.350000 -43.787455
14.273522 8.400000 -43.787455
14.273522 8.450000 -43.787455
14.273522 8.500000 -43.787455
14.273522 8.550000 -43.664139
14.273522 8.600000 -43.540822
14.273522 8.650000 -43.417506
14.273522 8.700000 -43.294190
14.273522 8.750000 -42.695512
14.273522 8.800000 -42.096833
14.273522 8.850000 -41.498155
14.273522 8.900000 -40.899477
14.273522 8.950000 -40.314218
14.273522 9.000000 -39.728960
14.273522 9.050000 -39.143701
14.273522 9.100000 -38.558442
14.273522 9.150000 -37.973276
14.273522 9.200000 -37.388110
14.273522 9.250000 -36.802944
14.273522 9.300000 -36.217777
14.273522 9.350000 -35.632747
14.273522 9.400000 -35.047716
14.273522 9.450000 -34.462686
14.273522 9.500000 -33.877655
14.273522 9.550000 -33.292828
14.273522 9.600000 -32.708000
14.273522 9.650000 -32.123173
14.273522 9.700000 -31.538345
14.273522 9.750000 -30.953798
14.273522 9.800000 -30.369250
14.273522 9.850000 -29.784703
14.273522 9.900000 -29.200155
14.273522 9.950000 -28.616004
14.273522 10.000000 -28.031854
14.273522 10.050000 -27.447703
14.273522 10.100000 -26.863552
14.273522 10.150000 -26.279951
14.273522 10.200000 -25.696351
14.195271 8.000000 -43.622934
14.195271 8.050000 -43.622934
14.195271 8.100000 -43.622934
14.195271 8.150000 -43.622934
14.195271 8.200000 -43.622934
14.195271 8.250000 -43.622934
14.195271 8.300000 -43.622934
14.195271 8.350000 -43.622935
14.195271 8.400000 -43.622935
14.195271 8.450000 -43.622935
14.195271 8.500000 -43.622935
14.195271 8.550000 -43.394074
14.195271 8.600000 -43.165213
14.195271 8.650000 -42.936353
14.195271 8.700000 -42.707492
14.195271 8.750000 -42.119721
14.195271 8.800000 -41.531949
14.195271 8.850000 -40.944177
14.195271 8.900000 -40.356406
14.195271 8.950000 -39.777687
14.195271 9.000000 -39.198967
14.195271 9.050000 -38.620248
14.195271 9.100000 -38.041529
14.195271 9.150000 -37.462898
14.195271 9.200000 -36.884267
14.195271 9.250000 -36.305636
14.195271 9.300000 -35.727005
14.195271 9.350000 -35.148515
14.195271 9.400000 -34.570026
14.195271 9.450000 -33.991536
14.195271 9.500000 -33.413047
14.195271 9.550000 -32.834772
14.195271 9.600000 -32.256496
14.195271 9.650000 -31.678221
14.195271 9.700000 -31.099946
14.195271 9.750000 -30.521967
14.195271 9.800000 -29.943989
14.195271 9.850000 -29.366010
14.195271 9.900000 -28.788031
14.195271 9.950000 -28.210475
14.195271 10.000000 -27.632919
14.195271 10.050000 -27.055362
14.195271 10.100000 -26.477806
14.195271 10.150000 -25.900837
14.195271 10.200000 -25.323868
14.195271 10.250000 -24.746898
14.117020 8.000000 -43.458414
14.117020 8.050000 -43.458414
14.117020 8.100000 -43.458414
14.117020 8.150000 -43.458414
14.117020 8.200000 -43.458414
14.117020 8.250000 -43.458414
14.117020 8.300000 -43.458414
14.117020 8.350000 -43.458414
14.117020 8.400000 -43.458414
14.117020 8.450000 -43.458414
14.117020 8.500000 -43.458414
14.117020 8.550000 -43.124009
14.117020 8.600000 -42.789604
14.117020 8.650000 -42.455199
14.117020 8.700000 -42.120795
14.117020 8.750000 -41.543930
14.117020 8.800000 -40.967065
14.117020 8.850000 -40.390200
14.117020 8.900000 -39.813335
14.117020 8.950000 -39.241155
14.117020 9.000000 -38.668975
14.117020 9.050000 -38.096796
14.117020 9.100000 -37.524616
14.117020 9.150000 -36.952520
14.117020 9.200000 -36.380424
14.117020 9.250000 -35.808328
14.117020 9.300000 -35.236233
14.117020 9.350000 -34.664284
14.117020 9.400000 -34.092336
14.117020 9.450000 -33.520387
14.117020 9.500000 -32.948439
14.117020 9.550000 -32.376716
14.117020 9.600000 -31.804992
14.117020 9.650000 -31.233269
14.117020 9.700000 -30.661546
14.117020 9.750000 -30.090136
14.117020 9.800000 -29.518727
14.117020 9.850000 -28.947317
14.117020 9.900000 -28.375908
14.117020 9.950000 -27.804946
14.117020 10.000000 -27.233984
14.117020 10.050000 -26.663022
14.117020 10.100000 -26.092060
14.117020 10.150000 -25.521722
