#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
8.646845 11.600000 0.172868
8.646845 11.650000 0.169560
8.646845 11.700000 0.166253
8.646845 11.750000 0.163455
8.596909 11.000000 0.205812
8.596909 11.050000 0.202111
8.596909 11.100000 0.198410
8.596909 11.150000 0.194690
8.596909 11.200000 0.190971
8.596909 11.250000 0.187251
8.596909 11.300000 0.183532
8.596909 11.350000 0.179920
8.596909 11.400000 0.176308
8.596909 11.450000 0.172696
8.596909 11.500000 0.169084
8.596909 11.550000 0.165768
8.596909 11.600000 0.162451
8.596909 11.650000 0.159135
8.596909 11.700000 0.155819
8.596909 11.750000 0.153028
8.547741 11.000000 0.196538
8.547741 11.050000 0.192828
8.547741 11.100000 0.189119
8.547741 11.150000 0.185401
8.547741 11.200000 0.181683
8.547741 11.250000 0.177964
8.547741 11.300000 0.174246
8.547741 11.350000 0.170647
8.547741 11.400000 0.167048
8.547741 11.450000 0.163449
8.547741 11.500000 0.159850
8.547741 11.550000 0.156559
8.547741 11.600000 0.153269
8.547741 11.650000 0.149978
8.547741 11.700000 0.146688
8.547741 11.750000 0.143939
8.547741 11.800000 0.141189
8.498573 11.000000 0.187263
8.498573 11.050000 0.183546
8.498573 11.100000 0.179829
8.498573 11.150000 0.176111
8.498573 11.200000 0.172394
8.498573 11.250000 0.168677
8.498573 11.300000 0.164960
8.498573 11.350000 0.161374
8.498573 11.400000 0.157787
8.498573 11.450000 0.154201
8.498573 11.500000 0.150615
8.498573 11.550000 0.147351
8.498573 11.600000 0.144086
8.498573 11.650000 0.140822
8.498573 11.700000 0.137558
8.498573 11.750000 0.134849
8.498573 11.800000 0.132141
8.449405 11.000000 0.177988
8.449405 11.050000 0.174263
8.449405 11.100000 0.170538
8.449405 11.150000 0.166822
8.449405 11.200000 0.163106
8.449405 11.250000 0.159390
8.449405 11.300000 0.155674
8.449405 11.350000 0.152101
8.449405 11.400000 0.148527
8.449405 11.450000 0.144954
8.449405 11.500000 0.141380
8.449405 11.550000 0.138142
8.449405 11.600000 0.134904
8.449405 11.650000 0.131665
8.449405 11.700000 0.128427
8.449405 11.750000 0.125760
8.449405 11.800000 0.123093
8.400992 11.000000 0.169397
8.400992 11.050000 0.165687
8.400992 11.100000 0.161978
8.400992 11.150000 0.158288
8.400992 11.200000 0.154599
8.400992 11.250000 0.150910
8.400992 11.300000 0.147221
8.400992 11.350000 0.143687
8.400992 11.400000 0.140153
8.400992 11.450000 0.136619
8.400992 11.500000 0.133084
8.400992 11.550000 0.129899
8.400992 11.600000 0.126714
8.400992 11.650000 0.123528
8.400992 11.700000 0.120343
8.400992 11.750000 0.117743
8.400992 11.800000 0.115143
8.400992 11.850000 0.112543
8.352580 11.000000 0.160805
8.352580 11.050000 0.157111
8.352580 11.100000 0.153417
8.352580 11.150000 0.149755
8.352580 11.200000 0.146092
8.352580 11.250000 0.142430
8.352580 11.300000 0.138767
8.352580 11.350000 0.135273
8.352580 11.400000 0.131778
8.352580 11.450000 0.128283
8.352580 11.500000 0.124789
8.352580 11.550000 0.121656
8.352580 11.600000 0.118524
8.352580 11.650000 0.115391
8.352580 11.700000 0.112259
8.352580 11.750000 0.109726
8.352580 11.800000 0.107192
8.352580 11.850000 0.104659
8.304168 11.000000 0.152214
8.304168 11.050000 0.148535
8.304168 11.100000 0.144857
8.304168 11.150000 0.141221
8.304168 11.200000 0.137586
8.304168 11.250000 0.133950
8.304168 11.300000 0.130314
8.304168 11.350000 0.126859
8.304168 11.400000 0.123403
8.304168 11.450000 0.119948
8.304168 11.500000 0.116493
8.304168 11.550000 0.113413
8.304168 11.600000 0.110334
8.304168 11.650000 0.107254
8.304168 11.700000 0.104174
8.304168 11.750000 0.101708
8.304168 11.800000 0.099242
8.304168 11.850000 0.096776
8.256499 11.000000 0.144156
8.256499 11.050000 0.140514
8.256499 11.100000 0.136873
8.256499 11.150000 0.133285
8.256499 11.200000 0.129698
8.256499 11.250000 0.126111
8.256499 11.300000 0.122523
8.256499 11.350000 0.119130
8.256499 11.400000 0.115736
8.256499 11.450000 0.112342
8.256499 11.500000 0.108948
8.256499 11.550000 0.105943
8.256499 11.600000 0.102937
8.256499 11.650000 0.099931
8.256499 11.700000 0.096926
8.256499 11.750000 0.094545
8.256499 11.800000 0.092164
8.256499 11.850000 0.089783
8.208831 11.000000 0.136099
8.208831 11.050000 0.132493
8.208831 11.100000 0.128888
8.208831 11.150000 0.125350
8.208831 11.200000 0.121811
8.208831 11.250000 0.118272
8.208831 11.300000 0.114733
8.208831 11.350000 0.111401
8.208831 11.400000 0.108069
8.208831 11.450000 0.104736
8.208831 11.500000 0.101404
8.208831 11.550000 0.098472
8.208831 11.600000 0.095540
8.208831 11.650000 0.092609
8.208831 11.700000 0.089677
8.208831 11.750000 0.087381
8.208831 11.800000 0.085086
8.208831 11.850000 0.082790
8.208831 11.900000 0.080495
8.161163 11.000000 0.128041
8.161163 11.050000 0.124472
8.161163 11.100000 0.120904
8.161163 11.150000 0.117414
8.161163 11.200000 0.113923
8.161163 11.250000 0.110433
8.161163 11.300000 0.106943
8.161163 11.350000 0.103672
8.161163 11.400000 0.100401
8.161163 11.450000 0.097130
8.161163 11.500000 0.093859
8.161163 11.550000 0.091002
8.161163 11.600000 0.088144
8.161163 11.650000 0.085286
8.161163 11.700000 0.082428
8.161163 11.750000 0.080218
8.161163 11.800000 0.078008
8.161163 11.850000 0.075798
8.161163 11.900000 0.073587
8.114227 11.000000 0.121704
8.114227 11.050000 0.118165
8.114227 11.100000 0.114626
8.114227 11.150000 0.111157
8.114227 11.200000 0.107689
8.114227 11.250000 0.104221
8.114227 11.300000 0.100753
8.114227 11.350000 0.097493
8.114227 11.400000 0.094232
8.114227 11.450000 0.090972
8.114227 11.500000 0.087712
8.114227 11.550000 0.084849
8.114227 11.600000 0.081986
8.114227 11.650000 0.079122
8.114227 11.700000 0.076259
8.114227 11.750000 0.074026
8.114227 11.800000 0.071793
8.114227 11.850000 0.069559
8.114227 11.900000 0.067326
8.067291 11.000000 0.115367
8.067291 11.050000 0.111857
8.067291 11.100000 0.108347
8.067291 11.150000 0.104901
8.067291 11.200000 0.101455
8.067291 11.250000 0.098009
8.067291 11.300000 0.094563
8.067291 11.350000 0.091313
8.067291 11.400000 0.088063
8.067291 11.450000 0.084814
8.067291 11.500000 0.081564
8.067291 11.550000 0.078696
8.067291 11.600000 0.075827
8.067291 11.650000 0.072959
8.067291 11.700000 0.070091
