#Average black hole accretion rate (BHAR) to average star formation rate (SFR) ratio as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR/SFR)@log(Mpeak)=12 log10(BHAR/SFR)_16@log(Mpeak)=12 log10(BHAR/SFR)_84@log(Mpeak)=12 log10(BHAR/SFR)@log(Mpeak)=13 log10(BHAR/SFR)_16@log(Mpeak)=13 log10(BHAR/SFR)_84@log(Mpeak)=13 log10(BHAR/SFR)@log(Mpeak)=14 log10(BHAR/SFR)_16@log(Mpeak)=14 log10(BHAR/SFR)_84@log(Mpeak)=14 log10(BHAR/SFR)@log(Mpeak)=15 log10(BHAR/SFR)_16@log(Mpeak)=15 log10(BHAR/SFR)_84@log(Mpeak)=15
8.003135 -11.313011 -12.262365 -10.655717 -9.592768 -10.354206 -9.059327 -8.156697 -8.782601 -7.717011 -6.906227 -7.410423 -6.552711
7.981690 -11.259161 -12.201302 -10.606839 -9.544506 -10.299681 -9.015474 -8.113267 -8.733753 -7.677473 -6.867408 -7.366686 -6.517267
7.960296 -11.205312 -12.140239 -10.557961 -9.496243 -10.245156 -8.971621 -8.069837 -8.684905 -7.637935 -6.828590 -7.322949 -6.481823
7.938953 -11.151463 -12.079175 -10.509083 -9.447980 -10.190630 -8.927768 -8.026407 -8.636057 -7.598397 -6.789771 -7.279212 -6.446378
7.917661 -11.097614 -12.018112 -10.460205 -9.399718 -10.136105 -8.883916 -7.982977 -8.587209 -7.558859 -6.750953 -7.235475 -6.410934
7.896420 -11.043765 -11.957049 -10.411327 -9.351455 -10.081580 -8.840063 -7.939547 -8.538361 -7.519321 -6.712134 -7.191739 -6.375490
7.875229 -10.990793 -11.897002 -10.363176 -9.304004 -10.027979 -8.796882 -7.896879 -8.490346 -7.480415 -6.674031 -7.148807 -6.340687
7.854088 -10.939811 -11.839257 -10.316670 -9.258390 -9.976473 -8.755226 -7.855938 -8.444219 -7.442938 -6.637547 -7.107698 -6.307336
7.832998 -10.888828 -11.781511 -10.270164 -9.212776 -9.924966 -8.713569 -7.814996 -8.398091 -7.405461 -6.601064 -7.066590 -6.273984
7.811959 -10.837845 -11.723766 -10.223658 -9.167162 -9.873460 -8.671913 -7.774055 -8.351963 -7.367984 -6.564581 -7.025481 -6.240633
7.790969 -10.786862 -11.666021 -10.177153 -9.121548 -9.821954 -8.630256 -7.733113 -8.305836 -7.330508 -6.528097 -6.984372 -6.207282
