#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "instant mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
14.478847 9.450000 -33.615609
14.478847 9.500000 -33.110645
14.478847 9.550000 -32.605680
14.478847 9.600000 -32.100727
14.478847 9.650000 -31.595774
14.478847 9.700000 -31.090834
14.478847 9.750000 -30.585895
14.478847 9.800000 -30.080973
14.478847 9.850000 -29.576050
14.478847 9.900000 -29.071153
14.478847 9.950000 -28.566256
14.478847 10.000000 -28.061397
14.478847 10.050000 -27.556538
14.478847 10.100000 -27.051729
14.478847 10.150000 -26.546921
14.427658 8.000000 -40.533242
14.427658 8.050000 -40.533469
14.427658 8.100000 -40.533784
14.427658 8.150000 -40.534099
14.427658 8.200000 -40.534531
14.427658 8.250000 -40.534963
14.427658 8.300000 -40.535550
14.427658 8.350000 -40.536137
14.427658 8.400000 -40.536932
14.427658 8.450000 -40.537726
14.427658 8.500000 -40.538795
14.427658 8.550000 -40.539864
14.427658 8.600000 -40.541298
14.427658 8.650000 -40.542732
14.427658 8.700000 -40.402437
14.427658 8.750000 -40.262142
14.427658 8.800000 -39.792176
14.427658 8.850000 -39.322210
14.427658 8.900000 -38.803430
14.427658 8.950000 -38.284651
14.427658 9.000000 -37.782573
14.427658 9.050000 -37.280495
14.427658 9.100000 -36.778905
14.427658 9.150000 -36.277314
14.427658 9.200000 -35.775717
14.427658 9.250000 -35.274120
14.427658 9.300000 -34.772510
14.427658 9.350000 -34.270900
14.427658 9.400000 -33.769285
14.427658 9.450000 -33.267670
14.427658 9.500000 -32.766059
14.427658 9.550000 -32.264448
14.427658 9.600000 -31.762848
14.427658 9.650000 -31.261247
14.427658 9.700000 -30.759661
14.427658 9.750000 -30.258074
14.427658 9.800000 -29.756503
14.427658 9.850000 -29.254933
14.427658 9.900000 -28.753388
14.427658 9.950000 -28.251844
14.427658 10.000000 -27.750338
14.427658 10.050000 -27.248832
14.427658 10.100000 -26.747379
14.427658 10.150000 -26.245927
14.376470 8.000000 -40.439076
14.376470 8.050000 -40.439303
14.376470 8.100000 -40.439619
14.376470 8.150000 -40.439934
14.376470 8.200000 -40.440367
14.376470 8.250000 -40.440800
14.376470 8.300000 -40.441388
14.376470 8.350000 -40.441977
14.376470 8.400000 -40.442773
14.376470 8.450000 -40.443569
14.376470 8.500000 -40.444640
14.376470 8.550000 -40.445711
14.376470 8.600000 -40.447148
14.376470 8.650000 -40.448584
14.376470 8.700000 -40.237185
14.376470 8.750000 -40.025785
14.376470 8.800000 -39.464073
14.376470 8.850000 -38.902360
14.376470 8.900000 -38.402245
14.376470 8.950000 -37.902129
14.376470 9.000000 -37.403899
14.376470 9.050000 -36.905669
14.376470 9.100000 -36.407449
14.376470 9.150000 -35.909230
14.376470 9.200000 -35.410993
14.376470 9.250000 -34.912756
14.376470 9.300000 -34.414504
14.376470 9.350000 -33.916251
14.376470 9.400000 -33.417991
14.376470 9.450000 -32.919731
14.376470 9.500000 -32.421473
14.376470 9.550000 -31.923216
14.376470 9.600000 -31.424969
14.376470 9.650000 -30.926721
14.376470 9.700000 -30.428487
14.376470 9.750000 -29.930252
14.376470 9.800000 -29.432034
14.376470 9.850000 -28.933816
14.376470 9.900000 -28.435623
14.376470 9.950000 -27.937431
14.376470 10.000000 -27.439278
14.376470 10.050000 -26.941126
14.376470 10.100000 -26.443029
14.376470 10.150000 -25.944932
14.376470 10.200000 -25.446907
14.325786 8.000000 -40.345421
14.325786 8.050000 -40.345649
14.325786 8.100000 -40.345965
14.325786 8.150000 -40.346281
14.325786 8.200000 -40.346715
14.325786 8.250000 -40.347149
14.325786 8.300000 -40.347739
14.325786 8.350000 -40.348328
14.325786 8.400000 -40.349126
14.325786 8.450000 -40.349923
14.325786 8.500000 -40.350996
14.325786 8.550000 -40.352070
14.325786 8.600000 -40.325340
14.325786 8.650000 -40.298610
14.325786 8.700000 -39.959511
14.325786 8.750000 -39.620412
14.325786 8.800000 -39.082218
14.325786 8.850000 -38.544024
14.325786 8.900000 -38.047902
14.325786 8.950000 -37.551780
14.325786 9.000000 -37.056922
14.325786 9.050000 -36.562064
14.325786 9.100000 -36.067207
14.325786 9.150000 -35.572350
14.325786 9.200000 -35.077472
14.325786 9.250000 -34.582593
14.325786 9.300000 -34.087696
14.325786 9.350000 -33.592799
14.325786 9.400000 -33.097893
14.325786 9.450000 -32.602986
14.325786 9.500000 -32.108080
14.325786 9.550000 -31.613174
14.325786 9.600000 -31.118277
14.325786 9.650000 -30.623379
