#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
8.848146 11.200000 -4.583663
8.848146 11.250000 -4.477407
8.848146 11.300000 -4.392104
8.848146 11.350000 -4.190827
8.848146 11.400000 -4.053822
8.848146 11.450000 -3.949831
8.848146 11.500000 -3.865992
8.848146 11.550000 -3.675102
8.848146 11.600000 -3.542948
8.848146 11.650000 -3.441766
8.848146 11.700000 -3.359760
8.797431 11.000000 -5.124876
8.797431 11.050000 -5.016983
8.797431 11.100000 -4.930632
8.797431 11.150000 -4.721464
8.797431 11.200000 -4.580887
8.797431 11.250000 -4.474857
8.797431 11.300000 -4.389700
8.797431 11.350000 -4.189268
8.797431 11.400000 -4.052652
8.797431 11.450000 -3.948883
8.797431 11.500000 -3.865189
8.797431 11.550000 -3.675069
8.797431 11.600000 -3.543283
8.797431 11.650000 -3.442315
8.797431 11.700000 -3.360450
8.746716 11.000000 -5.120475
8.746716 11.050000 -5.012805
8.746716 11.100000 -4.926596
8.746716 11.150000 -4.718311
8.746716 11.200000 -4.578128
8.746716 11.250000 -4.472322
8.746716 11.300000 -4.387309
8.746716 11.350000 -4.187715
8.746716 11.400000 -4.051485
8.746716 11.450000 -3.947938
8.746716 11.500000 -3.864388
8.746716 11.550000 -3.675037
8.746716 11.600000 -3.543617
8.746716 11.650000 -3.442864
8.746716 11.700000 -3.361140
8.696780 11.000000 -5.117940
8.696780 11.050000 -5.010460
8.696780 11.100000 -4.924373
8.696780 11.150000 -4.716796
8.696780 11.200000 -4.576931
8.696780 11.250000 -4.471306
8.696780 11.300000 -4.386410
8.696780 11.350000 -4.187451
8.696780 11.400000 -4.051515
8.696780 11.450000 -3.948138
8.696780 11.500000 -3.864698
8.696780 11.550000 -3.675902
8.696780 11.600000 -3.544748
8.696780 11.650000 -3.444151
8.696780 11.700000 -3.362528
8.696780 11.750000 -3.183617
8.646845 11.000000 -5.115419
8.646845 11.050000 -5.008127
8.646845 11.100000 -4.922160
8.646845 11.150000 -4.715287
8.646845 11.200000 -4.575738
8.646845 11.250000 -4.470292
8.646845 11.300000 -4.385512
8.646845 11.350000 -4.187188
8.646845 11.400000 -4.051546
8.646845 11.450000 -3.948338
8.646845 11.500000 -3.865008
8.646845 11.550000 -3.676769
8.646845 11.600000 -3.545881
8.646845 11.650000 -3.445440
8.646845 11.700000 -3.363921
8.646845 11.750000 -3.185501
